Student 1: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=72.20
Student 53: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=71.20
Student 54: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'B', 'SPORT': 'F', 'SCI': 'A'}, Average Score=68.80
Student 55: Grades={'ENG': 'B', 'MATH': 'C', 'CP': 'A', 'SPORT': 'A', 'SCI': 'B'}, Average Score=75.80
Student 56: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'A', 'SPORT': 'F', 'SCI': 'D'}, Average Score=67.40
Student 57: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'D', 'SCI': 'C'}, Average Score=77.40
Student 58: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'C', 'SPORT': 'C', 'SCI': 'A'}, Average Score=64.60
Student 59: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'C', 'SCI': 'A'}, Average Score=83.40
Student 60: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'F', 'SPORT': 'C', 'SCI': 'D'}, Average Score=57.40
Student 61: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'F'}, Average Score=72.60
Student 62: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'D', 'SPORT': 'D', 'SCI': 'D'}, Average Score=52.00
Student 63: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'B', 'SPORT': 'B', 'SCI': 'A'}, Average Score=77.20
Student 64: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'D', 'SPORT': 'B', 'SCI': 'C'}, Average Score=69.00
Student 65: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'D', 'SPORT': 'A', 'SCI': 'A'}, Average Score=74.40
Student 66: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'F', 'SPORT': 'C', 'SCI': 'B'}, Average Score=75.60
Student 67: Grades={'ENG': 'D', 'MATH': 'B', 'CP': 'A', 'SPORT': 'A', 'SCI': 'F'}, Average Score=70.40
Student 68: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=91.00
Student 69: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'D', 'SPORT': 'D', 'SCI': 'D'}, Average Score=53.20
Student 70: Grades={'ENG': 'F', 'MATH': 'C', 'CP': 'A', 'SPORT': 'C', 'SCI': 'C'}, Average Score=65.40
Student 71: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'A', 'SPORT': 'D', 'SCI': 'F'}, Average Score=66.00
Student 72: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'A', 'SPORT': 'D', 'SCI': 'F'}, Average Score=65.60
Student 73: Grades={'ENG': 'B', 'MATH': 'B', 'CP': 'D', 'SPORT': 'B', 'SCI': 'A'}, Average Score=69.80
Student 74: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'D', 'SPORT': 'A', 'SCI': 'A'}, Average Score=63.00
Student 75: Grades={'ENG': 'B', 'MATH': 'D', 'CP': 'A', 'SPORT': 'D', 'SCI': 'F'}, Average Score=64.40
Student 76: Grades={'ENG': 'C', 'MATH': 'B', 'CP': 'C', 'SPORT': 'B', 'SCI': 'A'}, Average Score=73.80
Student 77: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=82.80
Student 78: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=75.00
Student 79: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'A', 'SPORT': 'C', 'SCI': 'A'}, Average Score=74.40
Student 80: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'F', 'SPORT': 'B', 'SCI': 'A'}, Average Score=72.20
Student 81: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'F', 'SPORT': 'F', 'SCI': 'A'}, Average Score=62.00
Student 82: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'F', 'SPORT': 'A', 'SCI': 'D'}, Average Score=62.00
Student 83: Grades={'ENG': 'F', 'MATH': 'B', 'CP': 'A', 'SPORT': 'F', 'SCI': 'A'}, Average Score=68.00
Student 84: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'D', 'SPORT': 'A', 'SCI': 'A'}, Average Score=75.20
Student 85: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'F', 'SPORT': 'C', 'SCI': 'C'}, Average Score=61.00
Student 86: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'B', 'SPORT': 'A', 'SCI': 'C'}, Average Score=78.00
Student 87: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'A', 'SPORT': 'C', 'SCI': 'B'}, Average Score=69.60
Student 88: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'D', 'SPORT': 'F', 'SCI': 'B'}, Average Score=64.60
Student 89: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'F', 'SPORT': 'C', 'SCI': 'A'}, Average Score=60.40
Student 90: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'A', 'SPORT': 'B', 'SCI': 'F'}, Average Score=62.00
Student 91: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'B', 'SPORT': 'F', 'SCI': 'A'}, Average Score=78.00
Student 92: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'F', 'SPORT': 'C', 'SCI': 'A'}, Average Score=72.40
Student 93: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'D', 'SPORT': 'D', 'SCI': 'A'}, Average Score=76.20
Student 94: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'F', 'SPORT': 'A', 'SCI': 'A'}, Average Score=71.40
Student 95: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=72.80
Student 96: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'A', 'SPORT': 'D', 'SCI': 'A'}, Average Score=71.40
Student 97: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'F', 'SPORT': 'F', 'SCI': 'A'}, Average Score=57.00
Student 98: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'A', 'SPORT': 'D', 'SCI': 'A'}, Average Score=73.80
Student 99: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'C', 'SPORT': 'A', 'SCI': 'A'}, Average Score=75.40
Student 100: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'A', 'SPORT': 'A', 'SCI': 'D'}, Average Score=72.00
Student 101: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'A', 'SPORT': 'F', 'SCI': 'F'}, Average Score=60.00
Student 102: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'F', 'SPORT': 'C', 'SCI': 'A'}, Average Score=67.60
Student 103: Grades={'ENG': 'F', 'MATH': 'B', 'CP': 'C', 'SPORT': 'B', 'SCI': 'B'}, Average Score=67.20
Student 104: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'D', 'SPORT': 'B', 'SCI': 'B'}, Average Score=73.20
Student 105: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'D', 'SPORT': 'A', 'SCI': 'A'}, Average Score=77.80
Student 106: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'D', 'SPORT': 'F', 'SCI': 'A'}, Average Score=64.80
Student 107: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'F', 'SPORT': 'F', 'SCI': 'A'}, Average Score=67.40
Student 108: Grades={'ENG': 'B', 'MATH': 'B', 'CP': 'D', 'SPORT': 'C', 'SCI': 'A'}, Average Score=70.40
Student 109: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'C', 'SCI': 'D'}, Average Score=79.80
Student 110: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=65.60
Student 111: Grades={'ENG': 'D', 'MATH': 'B', 'CP': 'F', 'SPORT': 'C', 'SCI': 'A'}, Average Score=65.40
Student 112: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'B', 'SPORT': 'D', 'SCI': 'D'}, Average Score=67.80
Student 113: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'C', 'SPORT': 'F', 'SCI': 'A'}, Average Score=72.80
Student 114: Grades={'ENG': 'D', 'MATH': 'C', 'CP': 'F', 'SPORT': 'C', 'SCI': 'F'}, Average Score=54.20
Student 115: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'F', 'SPORT': 'A', 'SCI': 'C'}, Average Score=69.40
Student 116: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'A', 'SPORT': 'A', 'SCI': 'B'}, Average Score=74.80
Student 117: Grades={'ENG': 'B', 'MATH': 'C', 'CP': 'F', 'SPORT': 'B', 'SCI': 'A'}, Average Score=66.80
Student 118: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'A', 'SPORT': 'C', 'SCI': 'A'}, Average Score=67.40
Student 119: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'F', 'SPORT': 'C', 'SCI': 'C'}, Average Score=58.80
Student 120: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'A', 'SPORT': 'B', 'SCI': 'D'}, Average Score=64.40
Student 121: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'B', 'SPORT': 'B', 'SCI': 'C'}, Average Score=66.80
Student 122: Grades={'ENG': 'B', 'MATH': 'D', 'CP': 'D', 'SPORT': 'A', 'SCI': 'A'}, Average Score=74.00
Student 123: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'A', 'SPORT': 'D', 'SCI': 'A'}, Average Score=77.20
Student 124: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'D', 'SPORT': 'C', 'SCI': 'C'}, Average Score=68.40
Student 125: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'B', 'SPORT': 'C', 'SCI': 'A'}, Average Score=76.60
Student 126: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'C', 'SPORT': 'A', 'SCI': 'A'}, Average Score=80.00
Student 127: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'C', 'SPORT': 'B', 'SCI': 'B'}, Average Score=74.00
Student 128: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'D', 'SCI': 'A'}, Average Score=81.60
Student 129: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'D', 'SPORT': 'D', 'SCI': 'D'}, Average Score=49.20
Student 130: Grades={'ENG': 'B', 'MATH': 'C', 'CP': 'D', 'SPORT': 'C', 'SCI': 'B'}, Average Score=66.20
Student 131: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'A'}, Average Score=80.20
Student 132: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'C', 'SPORT': 'A', 'SCI': 'A'}, Average Score=77.60
Student 133: Grades={'ENG': 'C', 'MATH': 'F', 'CP': 'F', 'SPORT': 'C', 'SCI': 'B'}, Average Score=57.80
Student 134: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'D', 'SCI': 'A'}, Average Score=78.40
Student 135: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'D', 'SPORT': 'D', 'SCI': 'C'}, Average Score=58.80
Student 136: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'F', 'SPORT': 'B', 'SCI': 'F'}, Average Score=70.60
Student 137: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'C', 'SPORT': 'C', 'SCI': 'C'}, Average Score=75.20
Student 138: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'B', 'SPORT': 'A', 'SCI': 'A'}, Average Score=81.60
Student 139: Grades={'ENG': 'D', 'MATH': 'F', 'CP': 'A', 'SPORT': 'C', 'SCI': 'C'}, Average Score=64.00
Student 140: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'F', 'SPORT': 'A', 'SCI': 'D'}, Average Score=71.60
Student 141: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'B', 'SPORT': 'C', 'SCI': 'F'}, Average Score=60.80
Student 142: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'B', 'SPORT': 'A', 'SCI': 'F'}, Average Score=72.20
Student 143: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'C', 'SPORT': 'C', 'SCI': 'F'}, Average Score=69.60
Student 144: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'A', 'SPORT': 'B', 'SCI': 'F'}, Average Score=68.60
Student 145: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'F', 'SPORT': 'F', 'SCI': 'F'}, Average Score=64.20
Student 146: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'D', 'SPORT': 'A', 'SCI': 'A'}, Average Score=80.40
Student 147: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'B', 'SPORT': 'D', 'SCI': 'D'}, Average Score=67.40
Student 148: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'F', 'SPORT': 'A', 'SCI': 'D'}, Average Score=70.40
Student 149: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'C', 'SPORT': 'A', 'SCI': 'F'}, Average Score=69.20
Student 150: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'F', 'SPORT': 'F', 'SCI': 'C'}, Average Score=57.80
Student 151: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'B', 'SPORT': 'D', 'SCI': 'C'}, Average Score=62.00
Student 152: Grades={'ENG': 'B', 'MATH': 'C', 'CP': 'B', 'SPORT': 'A', 'SCI': 'A'}, Average Score=77.80
Student 153: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'F', 'SPORT': 'D', 'SCI': 'C'}, Average Score=68.40
Student 154: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'D', 'SPORT': 'A', 'SCI': 'B'}, Average Score=62.20
Student 155: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'F', 'SCI': 'F'}, Average Score=69.40
Student 156: Grades={'ENG': 'F', 'MATH': 'A', 'CP': 'A', 'SPORT': 'B', 'SCI': 'B'}, Average Score=74.00
Student 157: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'A', 'SPORT': 'D', 'SCI': 'A'}, Average Score=71.00
Student 158: Grades={'ENG': 'A', 'MATH': 'C', 'CP': 'F', 'SPORT': 'C', 'SCI': 'D'}, Average Score=64.80
Student 159: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'C', 'SPORT': 'F', 'SCI': 'F'}, Average Score=59.80
Student 160: Grades={'ENG': 'B', 'MATH': 'A', 'CP': 'C', 'SPORT': 'C', 'SCI': 'F'}, Average Score=67.80
Student 161: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'A', 'SPORT': 'A', 'SCI': 'D'}, Average Score=67.00
Student 162: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'A', 'SPORT': 'D', 'SCI': 'D'}, Average Score=64.20
Student 163: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'A', 'SPORT': 'C', 'SCI': 'A'}, Average Score=79.20
Student 164: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'A', 'SPORT': 'F', 'SCI': 'D'}, Average Score=58.00
Student 165: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'C', 'SCI': 'A'}, Average Score=86.60
Student 166: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'F', 'SPORT': 'A', 'SCI': 'B'}, Average Score=72.80
Student 167: Grades={'ENG': 'F', 'MATH': 'F', 'CP': 'F', 'SPORT': 'A', 'SCI': 'A'}, Average Score=63.60
Student 168: Grades={'ENG': 'B', 'MATH': 'C', 'CP': 'B', 'SPORT': 'A', 'SCI': 'D'}, Average Score=70.00
Student 169: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'C', 'SPORT': 'C', 'SCI': 'C'}, Average Score=67.40
Student 170: Grades={'ENG': 'B', 'MATH': 'C', 'CP': 'C', 'SPORT': 'F', 'SCI': 'C'}, Average Score=63.80
Student 171: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'D', 'SPORT': 'C', 'SCI': 'A'}, Average Score=75.00
Student 172: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'B', 'SPORT': 'B', 'SCI': 'F'}, Average Score=68.20
Student 173: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'F', 'SPORT': 'C', 'SCI': 'F'}, Average Score=50.80
Student 174: Grades={'ENG': 'C', 'MATH': 'A', 'CP': 'D', 'SPORT': 'A', 'SCI': 'A'}, Average Score=75.60
Student 175: Grades={'ENG': 'B', 'MATH': 'B', 'CP': 'C', 'SPORT': 'A', 'SCI': 'B'}, Average Score=78.60
Student 176: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'A', 'SPORT': 'D', 'SCI': 'A'}, Average Score=72.60
Student 177: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'A', 'SPORT': 'B', 'SCI': 'A'}, Average Score=71.00
Student 178: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'D', 'SPORT': 'A', 'SCI': 'D'}, Average Score=66.00
Student 179: Grades={'ENG': 'B', 'MATH': 'D', 'CP': 'B', 'SPORT': 'C', 'SCI': 'A'}, Average Score=72.60
Student 180: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'A', 'SPORT': 'B', 'SCI': 'F'}, Average Score=78.60
Student 181: Grades={'ENG': 'C', 'MATH': 'C', 'CP': 'F', 'SPORT': 'A', 'SCI': 'B'}, Average Score=70.00
Student 182: Grades={'ENG': 'F', 'MATH': 'C', 'CP': 'B', 'SPORT': 'A', 'SCI': 'A'}, Average Score=72.60
Student 183: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'C', 'SPORT': 'F', 'SCI': 'A'}, Average Score=75.80
Student 184: Grades={'ENG': 'D', 'MATH': 'D', 'CP': 'A', 'SPORT': 'C', 'SCI': 'A'}, Average Score=71.80
Student 185: Grades={'ENG': 'B', 'MATH': 'C', 'CP': 'F', 'SPORT': 'A', 'SCI': 'B'}, Average Score=70.40
Student 186: Grades={'ENG': 'A', 'MATH': 'F', 'CP': 'A', 'SPORT': 'A', 'SCI': 'B'}, Average Score=77.20
Student 187: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'A', 'SPORT': 'C', 'SCI': 'A'}, Average Score=77.80
Student 188: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'D'}, Average Score=83.80
Student 189: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'D', 'SPORT': 'A', 'SCI': 'D'}, Average Score=75.80
Student 190: Grades={'ENG': 'C', 'MATH': 'D', 'CP': 'F', 'SPORT': 'B', 'SCI': 'F'}, Average Score=56.00
Student 191: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'F', 'SPORT': 'D', 'SCI': 'A'}, Average Score=56.40
Student 192: Grades={'ENG': 'F', 'MATH': 'D', 'CP': 'A', 'SPORT': 'B', 'SCI': 'F'}, Average Score=63.20
Student 193: Grades={'ENG': 'B', 'MATH': 'F', 'CP': 'A', 'SPORT': 'B', 'SCI': 'A'}, Average Score=75.20
Student 194: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'A', 'SPORT': 'D', 'SCI': 'F'}, Average Score=65.40
Student 195: Grades={'ENG': 'A', 'MATH': 'A', 'CP': 'B', 'SPORT': 'F', 'SCI': 'A'}, Average Score=79.60
Student 196: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'F', 'SPORT': 'F', 'SCI': 'D'}, Average Score=56.80
Student 197: Grades={'ENG': 'A', 'MATH': 'B', 'CP': 'A', 'SPORT': 'A', 'SCI': 'B'}, Average Score=80.60
Student 198: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'F', 'SPORT': 'A', 'SCI': 'C'}, Average Score=66.60
Student 199: Grades={'ENG': 'A', 'MATH': 'D', 'CP': 'D', 'SPORT': 'A', 'SCI': 'A'}, Average Score=72.40
Student 200: Grades={'ENG': 'D', 'MATH': 'A', 'CP': 'A', 'SPORT': 'A', 'SCI': 'C'}, Average Score=81.40
Student 201: Grades={'ENG': 'F', 'MATH': 'B', 'CP': 'B', 'SPORT': 'B', 'SCI': 'B'}, Average Score=66.80
