Student   ENG     MATH    CP      SPORT   SCI     AVG     
94        A       A       B       F       F       C       
95        A       D       A       C       F       C       
96        B       A       A       D       A       B       
97        D       D       B       D       F       D       
98        B       B       A       C       A       B       
99        D       A       A       F       A       B       
100       A       A       A       A       A       A       
101       F       C       B       D       D       D       
102       D       B       F       F       C       D       
103       B       B       B       F       C       C       
104       C       C       A       D       A       B       
105       C       B       D       F       A       C       
106       C       A       A       C       A       A       
107       D       C       C       F       B       C       
108       D       F       A       C       D       C       
109       A       B       A       B       A       A       
110       D       F       F       D       F       F       
111       C       A       A       C       F       C       
112       C       D       B       A       C       B       
113       A       A       A       B       F       A       
114       A       A       F       F       B       C       
115       A       B       A       C       A       A       
116       A       F       B       B       A       B       
117       F       A       B       B       C       C       
118       A       A       C       D       A       A       
119       F       B       A       A       B       B       
120       B       B       D       D       B       C       
121       F       A       B       A       A       B       
122       A       F       B       A       A       B       
123       C       F       A       B       B       C       
124       A       C       F       A       C       B       
125       F       D       A       D       D       C       
126       F       C       F       F       B       D       
127       D       D       F       F       C       D       
128       F       F       A       D       A       C       
129       D       F       F       C       F       D       
130       A       D       A       F       D       C       
131       F       B       D       B       B       C       
132       A       F       D       D       A       C       
133       A       D       A       A       F       B       
134       A       D       D       A       F       C       
135       F       A       B       F       F       D       
136       B       A       F       A       F       C       
137       C       B       B       B       C       C       
138       F       A       D       B       A       B       
139       B       D       D       C       A       C       
140       A       D       C       B       D       C       
141       A       B       F       B       B       B       
142       D       B       C       A       B       B       
143       D       A       D       D       D       C       
144       A       A       A       D       D       B       
145       A       F       C       D       F       C       
146       D       A       C       A       A       B       
147       B       B       A       A       B       A       
148       D       C       B       F       D       D       
149       D       A       F       A       D       C       
150       A       A       B       A       C       A       
151       B       A       A       F       C       B       
152       C       F       B       A       F       C       
153       B       F       D       A       B       C       
154       F       A       A       A       B       B       
155       B       B       A       F       C       C       
156       B       B       B       A       F       B       
157       A       C       A       D       B       B       
158       A       A       F       A       B       B       
159       D       C       A       B       B       C       
160       B       C       D       A       F       C       
161       C       B       D       B       A       C       
162       B       D       A       F       C       C       
163       B       F       F       A       B       C       
164       A       D       C       B       F       C       
165       A       F       A       D       A       B       
166       A       B       A       F       A       B       
167       F       A       F       D       A       C       
168       F       C       B       A       A       C       
169       F       A       F       A       A       B       
170       B       D       A       A       B       B       
171       D       F       F       F       A       D       
172       A       A       C       D       C       B       
173       B       B       A       A       F       B       
174       C       A       B       A       B       A       
175       A       B       D       D       A       B       
176       B       C       A       C       B       B       
177       A       C       A       D       F       C       
178       A       A       C       D       F       C       
179       D       B       D       A       B       C       
180       C       A       F       C       A       B       
181       D       A       A       B       B       B       
182       B       C       A       C       C       B       
183       F       A       D       C       A       C       
184       F       A       D       B       A       B       
185       F       D       F       F       F       F       
186       B       D       C       D       C       C       
187       D       F       B       A       A       B       
188       D       B       D       D       A       C       
189       C       A       B       B       A       B       
190       D       C       D       B       B       C       
191       A       B       D       C       D       C       
192       F       C       C       A       F       C       
193       A       B       D       D       A       B       
194       C       F       A       B       D       C       
195       B       D       A       A       F       B       
196       D       C       C       F       B       C       
197       D       A       A       F       A       B       
198       A       A       A       D       A       A       
199       C       A       D       F       B       C       
200       A       B       D       C       C       B       
201       A       B       A       D       A       A       
202       A       C       C       C       A       B       
203       C       A       B       B       F       C       
204       A       A       D       C       D       B       
205       F       A       A       D       A       B       
206       A       A       D       B       F       B       
207       F       D       B       F       F       D       
208       A       A       B       B       A       A       
209       B       A       F       D       C       C       
210       A       A       A       C       A       A       
211       B       F       A       D       A       C       
212       A       A       D       C       A       B       
213       D       C       C       F       A       C       
214       A       D       A       D       A       B       
215       A       D       D       F       B       C       
216       D       C       D       D       A       C       
217       C       B       D       A       D       C       
218       D       A       F       A       A       B       
219       C       D       A       F       C       C       
220       D       A       A       A       A       A       
221       F       C       A       C       F       C       
222       F       D       C       D       F       D       
223       B       A       C       B       A       B       
224       A       D       A       C       C       B       
225       B       D       B       C       A       B       
226       B       F       F       A       B       C       
227       A       A       A       A       C       A       
228       F       F       A       D       A       C       
229       D       A       B       A       A       B       
230       D       C       D       D       C       D       
231       A       C       A       A       D       A       
232       A       A       C       B       A       A       
233       A       C       B       D       A       B       
234       A       A       C       D       D       C       
235       C       D       D       C       A       C       
236       C       A       D       C       A       B       
237       A       A       A       B       A       A       
238       C       A       B       A       F       B       
239       C       A       A       C       F       C       
240       A       A       A       D       B       B       
241       C       A       A       B       D       B       
242       A       B       D       F       F       C       
243       C       F       A       F       B       C       
244       A       B       F       F       F       D       
245       C       B       D       A       C       C       
246       A       A       B       A       B       A       
247       A       A       A       D       F       B       
248       C       B       F       A       B       C       
249       F       B       C       A       B       B       
250       A       C       C       C       B       B       
251       A       F       F       F       A       C       
252       D       A       D       B       A       C       
253       A       B       A       B       F       B       
254       F       A       D       A       C       B       
255       A       A       A       A       C       B       
256       A       D       B       F       A       B       
257       B       C       A       A       A       A       
258       B       B       D       A       B       B       
259       C       A       A       A       C       A       
260       A       C       D       C       C       C       
261       D       B       F       C       B       C       
262       C       C       F       F       B       D       
263       A       F       F       D       A       C       
264       A       B       D       A       C       B       
265       F       B       C       A       F       C       
266       F       A       A       F       B       C       
267       A       F       A       C       D       C       
268       A       A       A       B       D       A       
269       C       D       B       D       C       C       
270       A       D       F       A       F       C       
271       A       B       A       D       A       A       
272       D       D       D       B       C       D       
273       C       D       B       D       B       C       
274       C       A       A       B       A       A       
275       C       B       B       A       A       A       
276       A       B       F       D       C       C       
277       D       C       A       A       F       B       
278       D       C       A       C       A       C       
279       B       D       A       D       A       B       
280       A       A       B       C       A       A       
281       B       A       A       C       A       A       
282       B       F       F       D       B       D       
283       D       A       B       A       C       B       
284       D       F       A       F       C       D       
285       D       F       A       A       D       C       
286       F       A       C       F       C       C       
287       A       A       D       A       B       B       
288       C       A       B       D       A       B       
289       D       A       B       D       B       B       
290       F       F       C       F       D       F       
291       A       C       F       A       C       B       
292       F       A       B       C       A       B       
293       C       A       D       F       B       C       
294       C       D       B       B       D       C       
295       A       F       A       F       A       B       
296       A       A       B       C       D       B       
297       F       C       C       B       B       C       
298       F       D       D       A       A       B       
299       F       F       B       A       A       B       
300       C       D       A       A       C       B       
301       A       D       C       C       F       C       
302       A       B       F       A       C       B       
303       F       A       F       A       A       B       
304       D       F       A       F       F       D       
305       D       A       C       A       D       B       
306       D       A       C       A       C       B       
307       A       B       A       A       D       B       
308       D       A       D       A       A       B       
309       C       C       C       A       A       B       
310       F       C       D       D       F       D       
311       D       A       A       C       B       B       
312       A       F       B       F       B       C       
313       B       B       F       C       A       B       
314       F       B       C       C       D       C       
315       A       A       B       A       A       A       
316       A       D       B       B       F       C       
317       A       F       B       F       A       B       
318       A       F       A       F       A       C       
319       D       A       A       F       A       B       
320       A       D       D       C       B       C       
321       B       B       B       A       C       B       
322       C       A       A       A       A       A       
323       A       A       A       A       D       A       
324       C       A       D       B       D       C       
325       D       F       F       B       B       C       
326       B       A       A       B       A       A       
327       F       B       D       F       C       D       
328       C       F       B       D       D       D       
329       C       F       C       A       A       B       
330       D       D       F       C       A       C       
331       B       C       D       F       D       D       
332       F       B       A       B       B       B       
333       A       B       B       A       B       A       
334       F       F       B       F       A       C       
335       F       B       C       F       A       C       
336       F       D       B       D       D       D       
337       C       C       A       B       D       C       
338       A       B       A       F       D       B       
339       A       B       B       B       A       A       
340       F       F       B       D       D       D       
341       F       C       F       A       F       D       
342       B       C       A       B       F       C       
343       F       A       D       B       D       C       
344       C       C       B       B       D       C       
345       F       C       A       B       A       B       
346       A       A       C       D       A       B       
347       C       D       C       B       A       C       
348       A       C       A       A       C       B       
349       D       D       F       A       C       C       
350       A       B       B       F       A       B       
351       F       F       C       A       F       D       
352       D       A       C       C       B       C       
353       A       A       B       A       D       A       
354       D       B       C       F       B       C       
355       C       A       A       C       F       C       
356       A       A       B       D       B       B       
357       C       A       C       A       D       B       
358       B       A       F       D       D       C       
359       B       B       F       C       C       C       
360       D       C       B       C       A       C       
361       B       B       A       B       D       B       
362       B       B       A       A       A       A       
363       F       A       B       F       B       C       
364       D       A       C       A       A       B       
365       A       F       A       A       C       B       
366       C       F       D       A       D       C       
367       B       A       A       F       A       B       
368       A       B       B       C       C       B       
369       F       C       C       F       D       D       
370       A       D       B       D       C       C       
371       A       A       C       A       C       A       
372       B       A       A       F       D       B       
373       A       B       D       C       B       B       
374       F       A       D       A       D       C       
375       D       D       B       F       D       D       
376       B       A       A       D       A       A       
377       B       A       A       C       A       B       
378       A       A       A       D       A       A       
379       C       D       A       D       B       B       
380       A       C       A       A       A       A       
381       A       B       A       C       A       B       
382       C       A       C       A       A       A       
383       D       A       F       D       D       D       
384       D       A       A       F       C       C       
385       A       F       B       C       F       C       
386       A       C       B       A       B       B       
387       C       B       A       F       F       C       
388       C       C       C       D       C       C       
389       A       A       F       B       A       B       
390       F       D       A       A       D       C       
391       A       D       D       C       A       C       
392       A       F       D       F       A       C       
393       D       B       F       B       A       C       
394       C       B       C       D       F       C       
395       C       C       A       A       D       B       
396       D       A       A       B       A       A       
397       A       C       D       A       D       B       
398       F       D       C       A       D       C       
399       D       A       A       B       B       B       
400       F       A       A       D       A       B       
401       B       B       F       A       C       B       
402       B       D       C       F       C       C       
403       A       B       C       D       A       B       
404       A       A       B       C       F       B       
405       A       B       A       C       D       B       
406       F       F       A       A       D       C       
407       D       A       A       B       B       B       
408       A       D       A       D       C       B       
409       C       A       A       F       F       C       
410       A       A       F       C       A       B       
411       A       F       D       A       F       C       
412       B       C       F       A       A       B       
413       A       D       A       A       C       B       
414       A       F       A       B       B       B       
415       A       F       F       A       A       B       
416       F       A       B       A       C       B       
417       F       B       C       C       F       D       
418       A       B       D       F       A       B       
419       D       A       B       D       A       B       
420       A       C       C       B       D       B       
421       A       B       D       A       A       A       
422       C       A       A       B       B       B       
423       D       C       F       A       B       C       
424       D       A       C       A       B       B       
425       F       B       D       F       A       D       
426       B       A       F       C       A       B       
427       D       A       D       B       B       C       
428       B       F       A       C       D       C       
429       D       F       C       F       A       C       
430       B       D       D       F       B       D       
431       A       B       A       A       A       A       
432       D       B       F       F       A       D       
433       A       B       B       C       C       B       
434       D       C       B       A       A       B       
435       B       A       D       D       B       C       
436       B       A       C       D       A       B       
437       B       A       A       D       D       B       
438       B       C       B       D       C       C       
439       D       A       B       F       B       C       
440       B       B       F       A       A       B       
441       C       A       A       C       D       B       
442       A       A       D       B       C       B       
443       F       B       F       C       D       D       
444       F       A       A       D       A       B       
445       A       B       C       A       C       B       
446       A       A       F       A       A       A       
447       A       B       F       A       D       C       
448       F       A       C       A       D       C       
449       D       D       F       A       A       C       
450       C       C       A       B       A       B       
451       C       B       F       C       D       C       
452       C       B       A       C       B       B       
453       A       F       D       C       A       C       
454       C       D       A       B       A       B       
455       D       C       C       A       C       B       
456       F       A       D       D       B       C       
457       F       A       B       B       B       B       
458       B       A       A       A       F       B       
459       F       C       F       A       D       C       
460       A       B       A       A       F       B       
461       D       A       B       D       A       B       
462       D       D       C       F       D       D       
463       A       B       C       D       D       C       
464       D       D       A       C       A       B       
465       B       A       A       B       D       B       
466       A       A       D       A       D       B       
467       A       D       A       B       D       B       
468       B       A       A       A       A       A       
469       D       D       A       B       A       B       
470       C       D       A       A       A       B       
471       F       D       C       B       B       C       
472       B       C       A       B       A       B       
473       C       A       A       B       F       B       
474       A       B       C       C       A       B       
475       A       D       A       B       C       B       
476       D       F       A       B       D       C       
477       C       A       A       C       D       B       
478       D       C       B       D       C       C       
479       A       A       C       D       B       B       
480       A       C       A       A       D       B       
481       C       F       B       A       B       C       
482       F       D       D       C       F       D       
483       A       B       C       A       F       B       
484       F       F       A       A       A       B       
485       A       A       F       B       A       B       
486       F       B       F       B       F       D       
487       C       A       D       B       F       C       
488       F       D       B       D       A       C       
489       A       A       D       A       D       B       
490       D       A       F       B       A       B       
491       B       B       B       F       D       C       
492       F       B       D       A       C       C       
493       A       A       D       A       F       B       
494       F       B       A       A       B       B       
495       A       A       F       C       A       B       
496       A       A       B       D       A       B       
497       B       A       D       D       D       C       
498       C       A       A       C       C       B       
499       C       B       D       A       A       B       
500       B       A       A       B       D       B       
501       A       F       D       A       B       B       
502       A       C       D       A       A       B       
503       F       F       D       A       B       C       
504       C       A       F       A       B       C       
505       D       F       D       D       B       D       
506       B       C       C       A       D       C       
507       A       A       A       C       A       A       
508       A       D       F       C       A       C       
509       A       D       A       F       C       C       
510       D       A       C       D       A       B       
511       A       B       B       C       B       B       
512       A       C       F       F       D       D       
513       C       F       D       B       A       C       
514       F       B       A       D       C       C       
515       F       D       A       A       A       B       
516       A       A       A       C       F       B       
517       F       B       A       D       C       C       
518       A       A       A       D       D       B       
519       F       A       C       A       A       B       
520       B       B       D       A       A       B       
521       C       B       A       A       D       B       
522       B       B       F       A       B       B       
523       C       A       D       A       C       B       
524       F       D       B       A       B       C       
525       B       B       D       C       A       B       
526       D       F       A       A       B       B       
527       B       A       F       A       A       B       
528       C       A       B       F       D       C       
529       C       F       B       A       C       C       
530       B       F       C       B       B       C       
531       F       A       B       C       F       C       
532       D       A       F       D       A       C       
533       F       A       B       D       F       C       
534       C       B       F       C       A       C       
535       C       A       D       B       A       B       
536       B       B       F       A       A       B       
537       C       A       B       D       C       C       
538       A       A       D       A       D       B       
539       A       D       D       A       A       B       
540       F       A       A       A       A       A       
541       D       D       B       A       A       B       
542       C       A       A       C       A       B       
543       A       B       B       A       A       A       
544       A       A       F       D       D       C       
545       A       B       B       D       A       B       
546       A       D       A       B       F       C       
547       C       D       C       A       A       B       
548       B       C       B       A       B       B       
549       C       D       B       F       F       D       
550       D       C       B       A       D       C       
551       C       B       F       B       D       C       
552       F       C       D       F       F       D       
553       F       C       B       A       F       C       
554       A       C       D       F       A       C       
555       D       C       A       A       B       B       
556       A       A       A       D       A       A       
557       D       C       D       B       C       C       
558       F       A       C       D       B       C       
559       F       A       F       D       B       D       
560       D       C       A       C       A       C       
561       A       D       C       F       F       D       
562       C       B       A       A       B       B       
563       D       D       B       C       A       C       
564       A       A       C       A       D       A       
565       D       B       D       C       F       D       
566       A       A       B       B       C       B       
567       B       A       F       D       B       C       
568       C       A       D       A       C       B       
569       B       D       A       B       D       C       
570       A       F       B       D       B       C       
571       D       F       A       A       D       C       
572       F       A       F       C       F       D       
573       A       B       F       B       A       B       
574       A       A       C       A       C       B       
575       F       F       A       A       A       B       
576       B       C       F       D       A       C       
577       A       B       C       F       A       B       
578       F       B       A       B       C       B       
579       A       D       A       A       A       A       
580       C       A       A       A       D       B       
581       D       A       D       A       A       B       
582       A       D       D       D       B       C       
583       A       A       A       C       A       A       
584       D       F       A       B       D       C       
585       C       C       A       A       A       B       
586       B       D       B       D       B       C       
587       C       A       B       C       D       C       
588       F       F       A       C       D       D       
589       A       B       A       B       A       A       
590       B       D       A       A       D       B       
591       B       D       B       D       A       C       
592       B       F       D       B       B       C       
593       B       C       A       F       B       B       
594       A       A       D       B       F       B       
595       B       F       A       F       A       C       
596       F       D       A       B       A       C       
597       A       F       A       A       B       A       
598       A       F       B       F       F       D       
599       B       F       F       C       C       D       
600       D       A       F       F       F       D       
601       D       F       D       B       A       C       
602       C       C       A       F       A       C       
603       B       F       B       B       B       C       
604       A       B       B       B       F       C       
605       D       A       A       A       C       A       
606       A       A       A       C       C       A       
607       D       F       F       A       D       D       
608       A       B       D       A       F       C       
609       A       B       C       F       D       C       
610       A       B       B       C       C       B       
611       A       B       B       F       D       C       
612       A       B       A       D       C       B       
613       D       F       A       F       D       D       
614       F       C       F       F       D       F       
615       F       A       C       A       B       B       
616       A       A       F       A       A       A       
617       D       A       A       A       C       B       
618       A       C       A       C       C       B       
619       F       D       B       C       F       D       
620       A       C       F       A       D       C       
621       C       A       F       F       B       C       
622       A       A       D       A       F       B       
623       D       C       C       F       F       D       
624       A       A       A       A       A       A       
625       D       D       D       A       A       C       
626       F       A       C       F       A       C       
627       B       C       C       F       A       C       
628       F       A       A       D       F       C       
629       A       F       A       D       A       B       
630       A       C       B       B       A       A       
631       D       C       A       B       C       C       
632       A       D       C       F       A       C       
633       B       A       D       C       C       C       
634       B       A       F       D       A       B       
635       B       C       C       F       A       C       
636       B       A       C       F       A       B       
637       B       C       B       A       F       B       
638       D       D       A       F       F       D       
639       B       D       A       A       B       B       
640       A       A       B       F       B       B       
641       D       B       A       C       F       C       
642       B       C       C       A       A       B       
643       F       A       B       A       A       B       
644       A       B       F       C       F       C       
645       F       A       D       F       C       D       
646       A       F       A       A       A       A       
647       F       F       A       B       F       D       
648       D       B       A       C       F       C       
649       A       A       A       C       D       B       
650       A       D       C       F       D       C       
651       A       C       B       A       D       B       
652       A       B       F       A       A       B       
653       B       A       D       C       A       B       
654       B       D       A       B       A       B       
655       C       B       A       D       C       C       
656       D       A       A       F       A       B       
657       A       C       B       A       B       B       
658       B       C       A       A       B       B       
659       F       A       B       B       A       B       
660       A       C       A       D       D       C       
661       A       A       A       F       D       B       
662       B       D       D       D       B       C       
663       D       F       F       A       B       C       
664       A       D       A       C       A       A       
665       C       A       F       A       C       B       
666       B       A       A       D       A       A       
667       B       A       A       A       C       A       
668       C       B       A       C       F       C       
669       F       B       A       B       F       C       
670       A       D       F       F       A       C       
671       A       F       A       A       D       B       
672       A       A       A       A       A       A       
673       B       F       F       C       C       D       
674       D       B       D       A       C       C       
675       B       B       B       A       F       B       
676       F       D       A       C       C       C       
677       F       A       B       B       D       C       
678       F       F       A       B       C       C       
679       F       F       A       C       A       C       
680       B       C       F       F       A       C       
681       F       D       B       F       B       D       
682       F       F       A       B       B       C       
683       A       A       D       A       C       B       
684       C       A       B       A       F       B       
685       D       F       A       D       A       C       
686       B       C       C       A       A       B       
687       C       A       A       D       B       B       
688       F       A       A       F       F       C       
689       C       A       A       D       F       C       
690       B       C       A       F       C       C       
691       D       A       A       A       A       A       
692       A       B       D       D       B       B       
693       F       A       B       C       D       C       
694       A       A       C       C       C       B       
695       C       B       C       D       B       C       
696       C       C       F       A       A       B       
697       A       A       C       A       D       B       
698       A       B       D       D       A       B       
699       A       A       D       A       F       B       
700       A       A       A       B       A       A       
701       F       C       B       B       B       C       
702       C       F       F       A       C       C       
703       C       F       C       A       F       D       
704       D       A       B       A       B       B       
705       D       A       A       A       C       B       
706       A       B       B       B       C       B       
707       A       A       F       B       A       B       
708       A       C       A       A       F       B       
709       A       C       C       A       B       B       
710       A       A       D       F       D       C       
711       D       A       C       C       A       B       
712       A       F       D       D       B       C       
713       C       B       C       F       B       C       
714       B       D       C       B       B       C       
715       A       D       A       D       C       C       
716       A       B       A       B       B       B       
717       F       A       D       F       B       C       
718       F       B       B       D       A       C       
719       D       A       B       F       A       B       
720       C       F       D       B       F       D       
721       F       C       A       F       B       C       
722       D       C       A       C       B       C       
723       A       A       D       C       F       C       
724       C       A       A       C       B       B       
725       C       A       A       C       F       B       
726       A       A       D       B       A       A       
727       A       A       D       D       C       B       
728       D       B       F       B       A       C       
729       A       A       B       F       F       C       
730       D       B       B       A       B       B       
731       A       A       D       D       C       C       
732       B       F       F       A       F       D       
733       F       D       C       F       F       D       
734       D       B       B       F       C       C       
735       C       A       C       F       C       C       
736       A       F       C       B       A       B       
737       D       F       C       F       C       D       
738       A       A       F       A       A       B       
739       A       C       A       B       A       A       
740       C       F       A       C       C       C       
741       C       F       F       A       F       D       
742       A       D       A       C       F       B       
743       C       F       D       A       A       B       
744       D       F       A       B       C       C       
745       C       B       C       A       B       B       
746       C       F       A       A       F       C       
747       A       D       D       B       D       C       
748       A       B       F       B       F       C       
749       B       A       B       F       B       B       
750       A       A       F       D       A       B       
751       A       F       C       B       A       B       
752       F       B       D       C       F       D       
753       B       A       A       A       A       A       
754       A       D       B       C       A       B       
755       D       C       C       A       A       B       
756       A       D       B       B       A       B       
757       F       F       F       B       C       D       
758       F       F       D       A       A       C       
759       C       C       A       A       D       C       
760       A       F       A       A       A       A       
761       A       C       B       A       A       A       
762       A       A       B       A       B       A       
763       C       C       C       D       F       D       
764       D       D       A       F       B       C       
765       B       B       B       D       F       C       
766       B       A       B       C       A       B       
767       F       A       F       B       A       C       
768       A       A       A       A       A       A       
769       B       B       C       A       B       B       
770       D       B       A       D       B       B       
771       F       A       F       A       A       C       
772       F       F       F       D       A       D       
773       A       C       B       A       F       B       
774       C       B       B       A       D       B       
775       B       A       F       D       C       C       
776       F       D       B       A       F       C       
777       A       B       B       F       D       C       
778       B       D       F       F       A       C       
779       A       A       D       B       A       A       
780       C       A       A       A       C       B       
781       B       F       A       C       D       C       
782       A       A       A       A       A       A       
783       C       C       B       A       D       B       
784       A       D       A       A       A       A       
785       C       A       F       B       A       B       
786       B       A       A       F       A       B       
787       F       B       F       D       A       C       
788       A       F       B       D       C       C       
789       C       B       C       F       B       C       
790       B       A       D       A       F       B       
791       B       A       F       A       B       B       
792       C       C       C       A       A       B       
793       F       B       B       A       D       C       
794       B       C       C       A       C       B       
795       C       C       A       D       F       C       
796       A       A       A       A       D       A       
797       F       A       F       B       D       C       
798       A       C       A       A       F       B       
799       A       A       A       D       C       B       
800       A       C       A       F       F       C       
801       B       C       A       B       B       B       
802       C       B       D       D       A       C       
803       A       D       D       A       A       B       
804       B       B       B       B       D       B       
805       F       F       D       F       A       D       
806       D       D       C       A       C       C       
807       B       C       B       A       D       B       
808       A       D       A       D       D       B       
809       C       C       A       C       D       C       
810       A       F       B       A       F       C       
811       A       A       A       A       D       A       
812       A       C       F       D       A       C       
813       A       A       A       F       C       B       
814       C       C       A       A       A       A       
815       D       C       F       C       F       D       
816       A       A       C       A       A       A       
817       B       F       F       A       F       D       
818       F       D       C       B       D       D       
819       A       A       A       B       D       B       
820       A       A       C       A       F       B       
821       A       C       A       C       B       B       
822       A       A       A       C       B       A       
823       F       C       A       F       A       C       
824       A       C       F       B       C       C       
825       C       A       C       A       A       B       
826       F       A       A       C       B       B       
827       D       F       C       A       A       C       
828       D       B       B       C       C       C       
829       F       F       D       A       B       C       
830       B       A       A       A       F       A       
831       F       A       F       C       F       D       
832       A       F       D       A       B       C       
833       F       A       A       B       A       B       
834       A       C       A       F       B       B       
835       C       C       A       A       A       A       
836       A       A       D       B       D       B       
837       D       D       C       A       A       C       
838       A       A       D       A       C       B       
839       A       D       D       A       D       B       
840       A       B       B       C       B       B       
841       A       B       B       B       F       B       
842       D       A       F       B       F       C       
843       C       A       B       A       A       A       
844       A       F       F       A       D       C       
845       B       A       B       A       C       B       
846       F       C       D       A       B       C       
847       A       B       C       D       A       B       
848       A       A       C       B       F       B       
849       A       C       A       D       A       B       
850       B       A       B       A       A       A       
851       C       F       B       D       A       C       
852       C       A       C       D       A       B       
853       A       A       A       A       C       A       
854       A       D       F       C       A       B       
855       A       C       A       D       A       B       
856       D       A       F       F       C       C       
857       B       B       D       C       A       B       
858       C       B       C       F       A       C       
859       A       A       A       A       B       A       
860       A       A       C       A       A       A       
861       C       C       A       A       F       C       
862       A       F       A       C       A       B       
863       D       F       A       D       A       C       
864       A       B       A       F       B       B       
865       D       D       D       F       D       D       
866       B       A       A       A       D       A       
867       D       A       C       C       A       B       
868       D       C       A       B       D       C       
869       D       A       D       A       B       B       
870       D       B       F       F       F       D       
871       F       D       F       C       A       D       
872       A       F       A       A       D       B       
873       D       B       C       C       C       C       
874       C       B       A       F       A       B       
875       A       C       C       F       D       C       
876       F       A       A       A       F       B       
877       A       B       D       D       B       B       
878       F       A       D       C       B       C       
879       D       F       D       A       B       C       
880       A       C       D       A       F       C       
881       F       A       B       C       A       B       
882       B       F       A       B       C       B       
883       A       B       D       A       C       B       
884       D       C       B       C       C       C       
885       B       A       D       C       B       B       
886       A       C       B       F       A       C       
887       B       B       F       F       B       C       
888       F       A       B       C       C       C       
889       A       A       A       D       C       B       
890       B       A       A       C       D       B       
891       B       B       A       B       F       C       
892       A       B       D       D       A       B       
893       B       B       A       D       A       B       
894       A       F       A       F       B       C       
895       F       C       B       A       D       C       
896       B       C       F       A       C       B       
897       B       A       B       D       A       B       
898       B       A       C       A       D       B       
899       A       B       A       B       A       A       
900       B       A       C       A       A       A       
901       A       C       D       B       A       B       
902       F       F       B       B       A       C       
903       A       D       F       B       C       C       
904       C       A       A       C       A       A       
905       A       C       A       A       B       A       
906       A       B       B       D       A       B       
907       F       B       A       F       A       C       
908       D       B       D       F       B       C       
909       C       D       A       B       A       B       
910       A       B       A       A       C       A       
911       C       A       A       C       B       B       
912       D       D       D       D       A       C       
913       A       C       A       C       B       B       
914       A       A       D       A       A       A       
915       F       D       F       F       C       D       
916       A       A       D       B       F       B       
917       A       B       A       A       A       A       
918       C       A       A       D       F       B       
919       C       B       D       A       A       B       
920       F       C       B       F       D       D       
921       C       C       D       C       C       D       
922       C       A       A       C       C       B       
923       F       A       C       B       B       C       
924       D       F       F       A       C       C       
925       B       F       F       C       C       D       
926       F       C       D       C       D       D       
927       D       F       F       F       D       F       
928       B       C       F       A       D       C       
