Student 1: {'ENG': 95, 'MATH': 49, 'CP': 74, 'SPORT': 90, 'SCI': 53}
Student 30: {'ENG': 60, 'MATH': 75, 'CP': 47, 'SPORT': 61, 'SCI': 80}
Student 31: {'ENG': 48, 'MATH': 41, 'CP': 90, 'SPORT': 42, 'SCI': 76}
Student 32: {'ENG': 78, 'MATH': 47, 'CP': 70, 'SPORT': 47, 'SCI': 90}
Student 33: {'ENG': 46, 'MATH': 42, 'CP': 94, 'SPORT': 80, 'SCI': 49}
Student 34: {'ENG': 78, 'MATH': 66, 'CP': 89, 'SPORT': 58, 'SCI': 40}
Student 35: {'ENG': 62, 'MATH': 98, 'CP': 71, 'SPORT': 84, 'SCI': 45}
Student 36: {'ENG': 47, 'MATH': 96, 'CP': 72, 'SPORT': 46, 'SCI': 72}
Student 37: {'ENG': 77, 'MATH': 64, 'CP': 58, 'SPORT': 74, 'SCI': 90}
Student 38: {'ENG': 78, 'MATH': 92, 'CP': 77, 'SPORT': 46, 'SCI': 63}
Student 39: {'ENG': 41, 'MATH': 91, 'CP': 68, 'SPORT': 56, 'SCI': 85}
Student 40: {'ENG': 63, 'MATH': 80, 'CP': 64, 'SPORT': 56, 'SCI': 58}
Student 41: {'ENG': 74, 'MATH': 49, 'CP': 84, 'SPORT': 46, 'SCI': 85}
Student 42: {'ENG': 61, 'MATH': 81, 'CP': 72, 'SPORT': 55, 'SCI': 90}
Student 43: {'ENG': 65, 'MATH': 75, 'CP': 99, 'SPORT': 80, 'SCI': 55}
Student 44: {'ENG': 54, 'MATH': 84, 'CP': 85, 'SPORT': 43, 'SCI': 100}
Student 45: {'ENG': 57, 'MATH': 62, 'CP': 91, 'SPORT': 81, 'SCI': 90}
Student 46: {'ENG': 55, 'MATH': 60, 'CP': 95, 'SPORT': 56, 'SCI': 91}
Student 47: {'ENG': 62, 'MATH': 48, 'CP': 73, 'SPORT': 77, 'SCI': 86}
Student 48: {'ENG': 47, 'MATH': 93, 'CP': 47, 'SPORT': 46, 'SCI': 50}
Student 49: {'ENG': 71, 'MATH': 99, 'CP': 47, 'SPORT': 97, 'SCI': 81}
Student 50: {'ENG': 54, 'MATH': 93, 'CP': 71, 'SPORT': 56, 'SCI': 98}
Student 51: {'ENG': 52, 'MATH': 82, 'CP': 42, 'SPORT': 72, 'SCI': 96}
Student 52: {'ENG': 69, 'MATH': 99, 'CP': 44, 'SPORT': 77, 'SCI': 88}
Student 53: {'ENG': 93, 'MATH': 46, 'CP': 73, 'SPORT': 93, 'SCI': 51}
Student 54: {'ENG': 91, 'MATH': 51, 'CP': 76, 'SPORT': 43, 'SCI': 83}
Student 55: {'ENG': 71, 'MATH': 62, 'CP': 93, 'SPORT': 81, 'SCI': 72}
Student 56: {'ENG': 55, 'MATH': 83, 'CP': 93, 'SPORT': 48, 'SCI': 58}
Student 57: {'ENG': 98, 'MATH': 85, 'CP': 84, 'SPORT': 52, 'SCI': 68}
Student 58: {'ENG': 46, 'MATH': 58, 'CP': 67, 'SPORT': 69, 'SCI': 83}
Student 59: {'ENG': 98, 'MATH': 97, 'CP': 69, 'SPORT': 63, 'SCI': 90}
Student 60: {'ENG': 77, 'MATH': 42, 'CP': 45, 'SPORT': 65, 'SCI': 58}
Student 61: {'ENG': 50, 'MATH': 94, 'CP': 90, 'SPORT': 86, 'SCI': 43}
Student 62: {'ENG': 44, 'MATH': 55, 'CP': 50, 'SPORT': 57, 'SCI': 54}
Student 63: {'ENG': 83, 'MATH': 72, 'CP': 78, 'SPORT': 72, 'SCI': 81}
Student 64: {'ENG': 83, 'MATH': 60, 'CP': 57, 'SPORT': 77, 'SCI': 68}
Student 65: {'ENG': 56, 'MATH': 85, 'CP': 58, 'SPORT': 92, 'SCI': 81}
Student 66: {'ENG': 93, 'MATH': 99, 'CP': 43, 'SPORT': 69, 'SCI': 74}
Student 67: {'ENG': 57, 'MATH': 77, 'CP': 83, 'SPORT': 90, 'SCI': 45}
Student 68: {'ENG': 93, 'MATH': 100, 'CP': 90, 'SPORT': 91, 'SCI': 81}
Student 69: {'ENG': 58, 'MATH': 45, 'CP': 54, 'SPORT': 53, 'SCI': 56}
Student 70: {'ENG': 43, 'MATH': 63, 'CP': 96, 'SPORT': 61, 'SCI': 64}
Student 71: {'ENG': 80, 'MATH': 48, 'CP': 100, 'SPORT': 56, 'SCI': 46}
Student 72: {'ENG': 68, 'MATH': 69, 'CP': 94, 'SPORT': 54, 'SCI': 43}
Student 73: {'ENG': 71, 'MATH': 74, 'CP': 53, 'SPORT': 70, 'SCI': 81}
Student 74: {'ENG': 42, 'MATH': 42, 'CP': 59, 'SPORT': 89, 'SCI': 83}
Student 75: {'ENG': 76, 'MATH': 51, 'CP': 97, 'SPORT': 52, 'SCI': 46}
Student 76: {'ENG': 64, 'MATH': 79, 'CP': 61, 'SPORT': 73, 'SCI': 92}
Student 77: {'ENG': 98, 'MATH': 47, 'CP': 92, 'SPORT': 82, 'SCI': 95}
Student 78: {'ENG': 47, 'MATH': 99, 'CP': 73, 'SPORT': 98, 'SCI': 58}
Student 79: {'ENG': 86, 'MATH': 58, 'CP': 84, 'SPORT': 60, 'SCI': 84}
Student 80: {'ENG': 69, 'MATH': 96, 'CP': 41, 'SPORT': 74, 'SCI': 81}
Student 81: {'ENG': 69, 'MATH': 55, 'CP': 42, 'SPORT': 49, 'SCI': 95}
Student 82: {'ENG': 67, 'MATH': 44, 'CP': 46, 'SPORT': 99, 'SCI': 54}
Student 83: {'ENG': 41, 'MATH': 77, 'CP': 90, 'SPORT': 45, 'SCI': 87}
Student 84: {'ENG': 89, 'MATH': 41, 'CP': 52, 'SPORT': 97, 'SCI': 97}
Student 85: {'ENG': 49, 'MATH': 89, 'CP': 40, 'SPORT': 63, 'SCI': 64}
Student 86: {'ENG': 78, 'MATH': 82, 'CP': 75, 'SPORT': 92, 'SCI': 63}
Student 87: {'ENG': 60, 'MATH': 62, 'CP': 91, 'SPORT': 60, 'SCI': 75}
Student 88: {'ENG': 97, 'MATH': 53, 'CP': 51, 'SPORT': 44, 'SCI': 78}
Student 89: {'ENG': 65, 'MATH': 53, 'CP': 40, 'SPORT': 60, 'SCI': 84}
Student 90: {'ENG': 50, 'MATH': 47, 'CP': 99, 'SPORT': 74, 'SCI': 40}
Student 91: {'ENG': 100, 'MATH': 78, 'CP': 79, 'SPORT': 41, 'SCI': 92}
Student 92: {'ENG': 98, 'MATH': 77, 'CP': 41, 'SPORT': 65, 'SCI': 81}
Student 93: {'ENG': 85, 'MATH': 96, 'CP': 51, 'SPORT': 59, 'SCI': 90}
Student 94: {'ENG': 93, 'MATH': 43, 'CP': 41, 'SPORT': 86, 'SCI': 94}
Student 95: {'ENG': 40, 'MATH': 40, 'CP': 94, 'SPORT': 97, 'SCI': 93}
Student 96: {'ENG': 83, 'MATH': 48, 'CP': 85, 'SPORT': 57, 'SCI': 84}
Student 97: {'ENG': 51, 'MATH': 64, 'CP': 40, 'SPORT': 42, 'SCI': 88}
Student 98: {'ENG': 48, 'MATH': 80, 'CP': 96, 'SPORT': 51, 'SCI': 94}
Student 99: {'ENG': 95, 'MATH': 46, 'CP': 64, 'SPORT': 87, 'SCI': 85}
Student 100: {'ENG': 63, 'MATH': 62, 'CP': 100, 'SPORT': 84, 'SCI': 51}
Student 101: {'ENG': 62, 'MATH': 47, 'CP': 98, 'SPORT': 48, 'SCI': 45}
Student 102: {'ENG': 63, 'MATH': 80, 'CP': 41, 'SPORT': 64, 'SCI': 90}
Student 103: {'ENG': 48, 'MATH': 73, 'CP': 62, 'SPORT': 79, 'SCI': 74}
Student 104: {'ENG': 72, 'MATH': 94, 'CP': 50, 'SPORT': 76, 'SCI': 74}
Student 105: {'ENG': 49, 'MATH': 97, 'CP': 53, 'SPORT': 98, 'SCI': 92}
Student 106: {'ENG': 53, 'MATH': 85, 'CP': 53, 'SPORT': 41, 'SCI': 92}
Student 107: {'ENG': 88, 'MATH': 78, 'CP': 43, 'SPORT': 44, 'SCI': 84}
Student 108: {'ENG': 76, 'MATH': 78, 'CP': 53, 'SPORT': 62, 'SCI': 83}
Student 109: {'ENG': 99, 'MATH': 88, 'CP': 95, 'SPORT': 62, 'SCI': 55}
Student 110: {'ENG': 62, 'MATH': 58, 'CP': 72, 'SPORT': 86, 'SCI': 50}
Student 111: {'ENG': 53, 'MATH': 71, 'CP': 40, 'SPORT': 66, 'SCI': 97}
Student 112: {'ENG': 61, 'MATH': 97, 'CP': 70, 'SPORT': 53, 'SCI': 58}
Student 113: {'ENG': 86, 'MATH': 68, 'CP': 67, 'SPORT': 48, 'SCI': 95}
Student 114: {'ENG': 54, 'MATH': 63, 'CP': 41, 'SPORT': 68, 'SCI': 45}
Student 115: {'ENG': 64, 'MATH': 80, 'CP': 49, 'SPORT': 87, 'SCI': 67}
Student 116: {'ENG': 67, 'MATH': 41, 'CP': 99, 'SPORT': 94, 'SCI': 73}
Student 117: {'ENG': 70, 'MATH': 68, 'CP': 42, 'SPORT': 71, 'SCI': 83}
Student 118: {'ENG': 41, 'MATH': 54, 'CP': 100, 'SPORT': 61, 'SCI': 81}
Student 119: {'ENG': 81, 'MATH': 44, 'CP': 46, 'SPORT': 61, 'SCI': 62}
Student 120: {'ENG': 54, 'MATH': 45, 'CP': 87, 'SPORT': 77, 'SCI': 59}
Student 121: {'ENG': 63, 'MATH': 51, 'CP': 77, 'SPORT': 79, 'SCI': 64}
Student 122: {'ENG': 78, 'MATH': 56, 'CP': 51, 'SPORT': 87, 'SCI': 98}
Student 123: {'ENG': 83, 'MATH': 59, 'CP': 90, 'SPORT': 56, 'SCI': 98}
Student 124: {'ENG': 94, 'MATH': 66, 'CP': 56, 'SPORT': 61, 'SCI': 65}
Student 125: {'ENG': 87, 'MATH': 62, 'CP': 75, 'SPORT': 64, 'SCI': 95}
Student 126: {'ENG': 95, 'MATH': 61, 'CP': 65, 'SPORT': 89, 'SCI': 90}
Student 127: {'ENG': 57, 'MATH': 99, 'CP': 67, 'SPORT': 70, 'SCI': 77}
Student 128: {'ENG': 97, 'MATH': 100, 'CP': 68, 'SPORT': 58, 'SCI': 85}
Student 129: {'ENG': 44, 'MATH': 40, 'CP': 51, 'SPORT': 54, 'SCI': 57}
Student 130: {'ENG': 70, 'MATH': 69, 'CP': 54, 'SPORT': 67, 'SCI': 71}
Student 131: {'ENG': 47, 'MATH': 99, 'CP': 81, 'SPORT': 85, 'SCI': 89}
Student 132: {'ENG': 67, 'MATH': 85, 'CP': 68, 'SPORT': 88, 'SCI': 80}
Student 133: {'ENG': 64, 'MATH': 42, 'CP': 42, 'SPORT': 62, 'SCI': 79}
Student 134: {'ENG': 84, 'MATH': 98, 'CP': 61, 'SPORT': 50, 'SCI': 99}
Student 135: {'ENG': 61, 'MATH': 58, 'CP': 50, 'SPORT': 59, 'SCI': 66}
Student 136: {'ENG': 94, 'MATH': 96, 'CP': 42, 'SPORT': 79, 'SCI': 42}
Student 137: {'ENG': 100, 'MATH': 79, 'CP': 63, 'SPORT': 68, 'SCI': 66}
Student 138: {'ENG': 66, 'MATH': 83, 'CP': 70, 'SPORT': 94, 'SCI': 95}
Student 139: {'ENG': 53, 'MATH': 49, 'CP': 91, 'SPORT': 67, 'SCI': 60}
Student 140: {'ENG': 83, 'MATH': 81, 'CP': 47, 'SPORT': 93, 'SCI': 54}
Student 141: {'ENG': 77, 'MATH': 43, 'CP': 74, 'SPORT': 65, 'SCI': 45}
Student 142: {'ENG': 92, 'MATH': 69, 'CP': 70, 'SPORT': 88, 'SCI': 42}
Student 143: {'ENG': 75, 'MATH': 100, 'CP': 68, 'SPORT': 64, 'SCI': 41}
Student 144: {'ENG': 58, 'MATH': 86, 'CP': 81, 'SPORT': 78, 'SCI': 40}
Student 145: {'ENG': 93, 'MATH': 94, 'CP': 45, 'SPORT': 44, 'SCI': 45}
Student 146: {'ENG': 87, 'MATH': 79, 'CP': 52, 'SPORT': 95, 'SCI': 89}
Student 147: {'ENG': 99, 'MATH': 56, 'CP': 78, 'SPORT': 54, 'SCI': 50}
Student 148: {'ENG': 68, 'MATH': 90, 'CP': 44, 'SPORT': 93, 'SCI': 57}
Student 149: {'ENG': 88, 'MATH': 57, 'CP': 62, 'SPORT': 91, 'SCI': 48}
Student 150: {'ENG': 80, 'MATH': 42, 'CP': 49, 'SPORT': 49, 'SCI': 69}
Student 151: {'ENG': 79, 'MATH': 44, 'CP': 72, 'SPORT': 52, 'SCI': 63}
Student 152: {'ENG': 71, 'MATH': 64, 'CP': 71, 'SPORT': 99, 'SCI': 84}
Student 153: {'ENG': 91, 'MATH': 78, 'CP': 46, 'SPORT': 58, 'SCI': 69}
Student 154: {'ENG': 48, 'MATH': 57, 'CP': 52, 'SPORT': 82, 'SCI': 72}
Student 155: {'ENG': 91, 'MATH': 99, 'CP': 65, 'SPORT': 47, 'SCI': 45}
Student 156: {'ENG': 43, 'MATH': 93, 'CP': 85, 'SPORT': 76, 'SCI': 73}
Student 157: {'ENG': 66, 'MATH': 68, 'CP': 80, 'SPORT': 51, 'SCI': 90}
Student 158: {'ENG': 88, 'MATH': 67, 'CP': 48, 'SPORT': 62, 'SCI': 59}
Student 159: {'ENG': 67, 'MATH': 81, 'CP': 64, 'SPORT': 47, 'SCI': 40}
Student 160: {'ENG': 77, 'MATH': 86, 'CP': 66, 'SPORT': 68, 'SCI': 42}
Student 161: {'ENG': 44, 'MATH': 59, 'CP': 85, 'SPORT': 96, 'SCI': 51}
Student 162: {'ENG': 73, 'MATH': 41, 'CP': 97, 'SPORT': 59, 'SCI': 51}
Student 163: {'ENG': 68, 'MATH': 91, 'CP': 80, 'SPORT': 63, 'SCI': 94}
Student 164: {'ENG': 42, 'MATH': 53, 'CP': 94, 'SPORT': 46, 'SCI': 55}
Student 165: {'ENG': 98, 'MATH': 86, 'CP': 89, 'SPORT': 64, 'SCI': 96}
Student 166: {'ENG': 87, 'MATH': 81, 'CP': 43, 'SPORT': 83, 'SCI': 70}
Student 167: {'ENG': 46, 'MATH': 41, 'CP': 44, 'SPORT': 99, 'SCI': 88}
Student 168: {'ENG': 71, 'MATH': 63, 'CP': 73, 'SPORT': 93, 'SCI': 50}
Student 169: {'ENG': 80, 'MATH': 58, 'CP': 67, 'SPORT': 67, 'SCI': 65}
Student 170: {'ENG': 79, 'MATH': 65, 'CP': 67, 'SPORT': 47, 'SCI': 61}
Student 171: {'ENG': 87, 'MATH': 79, 'CP': 50, 'SPORT': 66, 'SCI': 93}
Student 172: {'ENG': 95, 'MATH': 56, 'CP': 75, 'SPORT': 71, 'SCI': 44}
Student 173: {'ENG': 48, 'MATH': 51, 'CP': 42, 'SPORT': 68, 'SCI': 45}
Student 174: {'ENG': 65, 'MATH': 80, 'CP': 51, 'SPORT': 100, 'SCI': 82}
Student 175: {'ENG': 79, 'MATH': 78, 'CP': 61, 'SPORT': 100, 'SCI': 75}
Student 176: {'ENG': 66, 'MATH': 61, 'CP': 94, 'SPORT': 57, 'SCI': 85}
Student 177: {'ENG': 43, 'MATH': 57, 'CP': 99, 'SPORT': 71, 'SCI': 85}
Student 178: {'ENG': 91, 'MATH': 41, 'CP': 50, 'SPORT': 93, 'SCI': 55}
Student 179: {'ENG': 76, 'MATH': 52, 'CP': 74, 'SPORT': 62, 'SCI': 99}
Student 180: {'ENG': 99, 'MATH': 79, 'CP': 93, 'SPORT': 75, 'SCI': 47}
Student 181: {'ENG': 66, 'MATH': 68, 'CP': 44, 'SPORT': 98, 'SCI': 74}
Student 182: {'ENG': 45, 'MATH': 62, 'CP': 79, 'SPORT': 86, 'SCI': 91}
Student 183: {'ENG': 90, 'MATH': 95, 'CP': 60, 'SPORT': 40, 'SCI': 94}
Student 184: {'ENG': 53, 'MATH': 54, 'CP': 94, 'SPORT': 68, 'SCI': 90}
Student 185: {'ENG': 71, 'MATH': 66, 'CP': 45, 'SPORT': 91, 'SCI': 79}
Student 186: {'ENG': 88, 'MATH': 46, 'CP': 94, 'SPORT': 81, 'SCI': 77}
Student 187: {'ENG': 53, 'MATH': 96, 'CP': 87, 'SPORT': 63, 'SCI': 90}
Student 188: {'ENG': 90, 'MATH': 98, 'CP': 83, 'SPORT': 92, 'SCI': 56}
Student 189: {'ENG': 94, 'MATH': 91, 'CP': 51, 'SPORT': 93, 'SCI': 50}
Student 190: {'ENG': 63, 'MATH': 56, 'CP': 44, 'SPORT': 77, 'SCI': 40}
Student 191: {'ENG': 41, 'MATH': 56, 'CP': 45, 'SPORT': 52, 'SCI': 88}
Student 192: {'ENG': 47, 'MATH': 56, 'CP': 86, 'SPORT': 79, 'SCI': 48}
Student 193: {'ENG': 79, 'MATH': 42, 'CP': 95, 'SPORT': 76, 'SCI': 84}
Student 194: {'ENG': 53, 'MATH': 83, 'CP': 97, 'SPORT': 54, 'SCI': 40}
Student 195: {'ENG': 100, 'MATH': 88, 'CP': 76, 'SPORT': 48, 'SCI': 86}
Student 196: {'ENG': 81, 'MATH': 58, 'CP': 42, 'SPORT': 46, 'SCI': 57}
Student 197: {'ENG': 80, 'MATH': 72, 'CP': 86, 'SPORT': 89, 'SCI': 76}
Student 198: {'ENG': 90, 'MATH': 54, 'CP': 42, 'SPORT': 87, 'SCI': 60}
Student 199: {'ENG': 80, 'MATH': 50, 'CP': 53, 'SPORT': 82, 'SCI': 97}
Student 200: {'ENG': 56, 'MATH': 97, 'CP': 93, 'SPORT': 92, 'SCI': 69}
Student 201: {'ENG': 40, 'MATH': 72, 'CP': 72, 'SPORT': 77, 'SCI': 73}
Student 202: {'ENG': 75, 'MATH': 42, 'CP': 70, 'SPORT': 78, 'SCI': 87}
Student 203: {'ENG': 69, 'MATH': 50, 'CP': 50, 'SPORT': 84, 'SCI': 92}
Student 204: {'ENG': 68, 'MATH': 92, 'CP': 88, 'SPORT': 40, 'SCI': 93}
Student 205: {'ENG': 41, 'MATH': 60, 'CP': 54, 'SPORT': 54, 'SCI': 50}
Student 206: {'ENG': 48, 'MATH': 73, 'CP': 84, 'SPORT': 58, 'SCI': 83}
Student 207: {'ENG': 79, 'MATH': 64, 'CP': 75, 'SPORT': 85, 'SCI': 54}
Student 208: {'ENG': 79, 'MATH': 97, 'CP': 59, 'SPORT': 64, 'SCI': 78}
Student 209: {'ENG': 79, 'MATH': 92, 'CP': 75, 'SPORT': 45, 'SCI': 70}
Student 210: {'ENG': 99, 'MATH': 63, 'CP': 73, 'SPORT': 99, 'SCI': 88}
Student 211: {'ENG': 40, 'MATH': 49, 'CP': 65, 'SPORT': 84, 'SCI': 56}
Student 212: {'ENG': 84, 'MATH': 92, 'CP': 90, 'SPORT': 97, 'SCI': 80}
Student 213: {'ENG': 64, 'MATH': 48, 'CP': 74, 'SPORT': 58, 'SCI': 47}
Student 214: {'ENG': 63, 'MATH': 85, 'CP': 62, 'SPORT': 95, 'SCI': 44}
Student 215: {'ENG': 100, 'MATH': 40, 'CP': 49, 'SPORT': 54, 'SCI': 63}
Student 216: {'ENG': 81, 'MATH': 64, 'CP': 74, 'SPORT': 91, 'SCI': 56}
Student 217: {'ENG': 78, 'MATH': 83, 'CP': 65, 'SPORT': 83, 'SCI': 78}
Student 218: {'ENG': 75, 'MATH': 48, 'CP': 95, 'SPORT': 40, 'SCI': 92}
Student 219: {'ENG': 77, 'MATH': 75, 'CP': 53, 'SPORT': 95, 'SCI': 72}
Student 220: {'ENG': 53, 'MATH': 43, 'CP': 71, 'SPORT': 56, 'SCI': 54}
Student 221: {'ENG': 59, 'MATH': 99, 'CP': 69, 'SPORT': 72, 'SCI': 58}
Student 222: {'ENG': 52, 'MATH': 47, 'CP': 89, 'SPORT': 96, 'SCI': 66}
Student 223: {'ENG': 75, 'MATH': 45, 'CP': 55, 'SPORT': 50, 'SCI': 76}
Student 224: {'ENG': 64, 'MATH': 68, 'CP': 70, 'SPORT': 94, 'SCI': 82}
Student 225: {'ENG': 48, 'MATH': 95, 'CP': 92, 'SPORT': 88, 'SCI': 86}
Student 226: {'ENG': 53, 'MATH': 57, 'CP': 92, 'SPORT': 59, 'SCI': 100}
Student 227: {'ENG': 53, 'MATH': 52, 'CP': 55, 'SPORT': 67, 'SCI': 82}
Student 228: {'ENG': 73, 'MATH': 77, 'CP': 42, 'SPORT': 60, 'SCI': 58}
Student 229: {'ENG': 43, 'MATH': 86, 'CP': 97, 'SPORT': 43, 'SCI': 94}
Student 230: {'ENG': 100, 'MATH': 50, 'CP': 47, 'SPORT': 60, 'SCI': 80}
Student 231: {'ENG': 82, 'MATH': 53, 'CP': 100, 'SPORT': 99, 'SCI': 92}
Student 232: {'ENG': 93, 'MATH': 70, 'CP': 98, 'SPORT': 47, 'SCI': 41}
Student 233: {'ENG': 49, 'MATH': 66, 'CP': 51, 'SPORT': 55, 'SCI': 65}
Student 234: {'ENG': 56, 'MATH': 66, 'CP': 65, 'SPORT': 72, 'SCI': 77}
Student 235: {'ENG': 76, 'MATH': 57, 'CP': 90, 'SPORT': 67, 'SCI': 79}
Student 236: {'ENG': 64, 'MATH': 63, 'CP': 50, 'SPORT': 51, 'SCI': 74}
Student 237: {'ENG': 67, 'MATH': 55, 'CP': 44, 'SPORT': 56, 'SCI': 87}
Student 238: {'ENG': 95, 'MATH': 64, 'CP': 60, 'SPORT': 91, 'SCI': 63}
Student 239: {'ENG': 67, 'MATH': 66, 'CP': 70, 'SPORT': 94, 'SCI': 85}
Student 240: {'ENG': 65, 'MATH': 54, 'CP': 70, 'SPORT': 88, 'SCI': 40}
Student 241: {'ENG': 85, 'MATH': 85, 'CP': 52, 'SPORT': 98, 'SCI': 51}
Student 242: {'ENG': 74, 'MATH': 75, 'CP': 91, 'SPORT': 97, 'SCI': 95}
Student 243: {'ENG': 46, 'MATH': 63, 'CP': 87, 'SPORT': 79, 'SCI': 72}
Student 244: {'ENG': 76, 'MATH': 76, 'CP': 80, 'SPORT': 79, 'SCI': 97}
Student 245: {'ENG': 69, 'MATH': 73, 'CP': 78, 'SPORT': 99, 'SCI': 74}
Student 246: {'ENG': 81, 'MATH': 85, 'CP': 50, 'SPORT': 42, 'SCI': 59}
Student 247: {'ENG': 54, 'MATH': 77, 'CP': 64, 'SPORT': 86, 'SCI': 81}
Student 248: {'ENG': 50, 'MATH': 78, 'CP': 50, 'SPORT': 79, 'SCI': 100}
Student 249: {'ENG': 86, 'MATH': 69, 'CP': 100, 'SPORT': 98, 'SCI': 42}
Student 250: {'ENG': 93, 'MATH': 92, 'CP': 69, 'SPORT': 59, 'SCI': 100}
Student 251: {'ENG': 85, 'MATH': 59, 'CP': 64, 'SPORT': 44, 'SCI': 54}
Student 252: {'ENG': 64, 'MATH': 97, 'CP': 73, 'SPORT': 66, 'SCI': 45}
Student 253: {'ENG': 53, 'MATH': 97, 'CP': 67, 'SPORT': 56, 'SCI': 48}
Student 254: {'ENG': 69, 'MATH': 43, 'CP': 90, 'SPORT': 51, 'SCI': 98}
Student 255: {'ENG': 91, 'MATH': 67, 'CP': 67, 'SPORT': 59, 'SCI': 87}
Student 256: {'ENG': 52, 'MATH': 95, 'CP': 56, 'SPORT': 61, 'SCI': 74}
Student 257: {'ENG': 63, 'MATH': 52, 'CP': 72, 'SPORT': 49, 'SCI': 74}
Student 258: {'ENG': 51, 'MATH': 69, 'CP': 79, 'SPORT': 47, 'SCI': 40}
Student 259: {'ENG': 94, 'MATH': 77, 'CP': 76, 'SPORT': 94, 'SCI': 97}
Student 260: {'ENG': 99, 'MATH': 87, 'CP': 69, 'SPORT': 64, 'SCI': 73}
Student 261: {'ENG': 87, 'MATH': 84, 'CP': 92, 'SPORT': 95, 'SCI': 62}
Student 262: {'ENG': 70, 'MATH': 90, 'CP': 88, 'SPORT': 63, 'SCI': 43}
Student 263: {'ENG': 42, 'MATH': 69, 'CP': 53, 'SPORT': 89, 'SCI': 99}
Student 264: {'ENG': 70, 'MATH': 45, 'CP': 65, 'SPORT': 77, 'SCI': 87}
Student 265: {'ENG': 64, 'MATH': 57, 'CP': 70, 'SPORT': 87, 'SCI': 90}
Student 266: {'ENG': 81, 'MATH': 76, 'CP': 60, 'SPORT': 44, 'SCI': 81}
Student 267: {'ENG': 92, 'MATH': 78, 'CP': 56, 'SPORT': 72, 'SCI': 64}
Student 268: {'ENG': 53, 'MATH': 99, 'CP': 94, 'SPORT': 65, 'SCI': 43}
Student 269: {'ENG': 78, 'MATH': 58, 'CP': 86, 'SPORT': 70, 'SCI': 62}
Student 270: {'ENG': 89, 'MATH': 79, 'CP': 47, 'SPORT': 42, 'SCI': 70}
Student 271: {'ENG': 82, 'MATH': 40, 'CP': 49, 'SPORT': 48, 'SCI': 43}
Student 272: {'ENG': 46, 'MATH': 78, 'CP': 93, 'SPORT': 56, 'SCI': 72}
Student 273: {'ENG': 96, 'MATH': 49, 'CP': 40, 'SPORT': 95, 'SCI': 58}
