Student 1: {'ENG': 85, 'MATH': 78, 'CP': 100, 'SPORT': 87, 'SCI': 100}
Student 30: {'ENG': 60, 'MATH': 73, 'CP': 66, 'SPORT': 67, 'SCI': 42}
Student 31: {'ENG': 89, 'MATH': 75, 'CP': 56, 'SPORT': 43, 'SCI': 96}
Student 32: {'ENG': 73, 'MATH': 90, 'CP': 80, 'SPORT': 85, 'SCI': 61}
Student 33: {'ENG': 85, 'MATH': 53, 'CP': 87, 'SPORT': 100, 'SCI': 60}
Student 34: {'ENG': 96, 'MATH': 74, 'CP': 66, 'SPORT': 60, 'SCI': 84}
Student 35: {'ENG': 79, 'MATH': 75, 'CP': 56, 'SPORT': 90, 'SCI': 47}
Student 36: {'ENG': 67, 'MATH': 69, 'CP': 99, 'SPORT': 49, 'SCI': 63}
Student 37: {'ENG': 70, 'MATH': 42, 'CP': 47, 'SPORT': 76, 'SCI': 91}
Student 38: {'ENG': 87, 'MATH': 89, 'CP': 64, 'SPORT': 98, 'SCI': 96}
Student 39: {'ENG': 50, 'MATH': 73, 'CP': 57, 'SPORT': 75, 'SCI': 40}
Student 40: {'ENG': 85, 'MATH': 95, 'CP': 98, 'SPORT': 54, 'SCI': 56}
Student 41: {'ENG': 86, 'MATH': 98, 'CP': 62, 'SPORT': 69, 'SCI': 52}
Student 42: {'ENG': 53, 'MATH': 87, 'CP': 63, 'SPORT': 45, 'SCI': 55}
Student 43: {'ENG': 73, 'MATH': 55, 'CP': 50, 'SPORT': 68, 'SCI': 58}
Student 44: {'ENG': 70, 'MATH': 71, 'CP': 73, 'SPORT': 100, 'SCI': 55}
Student 45: {'ENG': 96, 'MATH': 73, 'CP': 78, 'SPORT': 44, 'SCI': 56}
Student 46: {'ENG': 42, 'MATH': 64, 'CP': 56, 'SPORT': 79, 'SCI': 48}
Student 47: {'ENG': 46, 'MATH': 96, 'CP': 97, 'SPORT': 47, 'SCI': 86}
Student 48: {'ENG': 46, 'MATH': 92, 'CP': 76, 'SPORT': 40, 'SCI': 86}
Student 49: {'ENG': 52, 'MATH': 56, 'CP': 49, 'SPORT': 41, 'SCI': 42}
Student 50: {'ENG': 89, 'MATH': 100, 'CP': 46, 'SPORT': 49, 'SCI': 51}
Student 51: {'ENG': 79, 'MATH': 54, 'CP': 91, 'SPORT': 73, 'SCI': 40}
Student 52: {'ENG': 84, 'MATH': 78, 'CP': 53, 'SPORT': 96, 'SCI': 88}
Student 53: {'ENG': 59, 'MATH': 61, 'CP': 62, 'SPORT': 95, 'SCI': 75}
Student 54: {'ENG': 76, 'MATH': 87, 'CP': 67, 'SPORT': 68, 'SCI': 100}
Student 55: {'ENG': 59, 'MATH': 82, 'CP': 49, 'SPORT': 71, 'SCI': 59}
Student 56: {'ENG': 70, 'MATH': 88, 'CP': 66, 'SPORT': 70, 'SCI': 72}
Student 57: {'ENG': 57, 'MATH': 92, 'CP': 84, 'SPORT': 74, 'SCI': 84}
Student 58: {'ENG': 95, 'MATH': 74, 'CP': 69, 'SPORT': 48, 'SCI': 60}
Student 59: {'ENG': 96, 'MATH': 95, 'CP': 60, 'SPORT': 71, 'SCI': 54}
Student 60: {'ENG': 57, 'MATH': 70, 'CP': 77, 'SPORT': 57, 'SCI': 85}
Student 61: {'ENG': 83, 'MATH': 67, 'CP': 99, 'SPORT': 66, 'SCI': 52}
Student 62: {'ENG': 40, 'MATH': 95, 'CP': 67, 'SPORT': 44, 'SCI': 70}
Student 63: {'ENG': 64, 'MATH': 96, 'CP': 40, 'SPORT': 45, 'SCI': 99}
Student 64: {'ENG': 90, 'MATH': 42, 'CP': 41, 'SPORT': 84, 'SCI': 46}
Student 65: {'ENG': 73, 'MATH': 57, 'CP': 75, 'SPORT': 59, 'SCI': 55}
Student 66: {'ENG': 54, 'MATH': 85, 'CP': 89, 'SPORT': 64, 'SCI': 88}
Student 67: {'ENG': 100, 'MATH': 77, 'CP': 73, 'SPORT': 40, 'SCI': 77}
Student 68: {'ENG': 53, 'MATH': 63, 'CP': 86, 'SPORT': 42, 'SCI': 42}
Student 69: {'ENG': 66, 'MATH': 68, 'CP': 97, 'SPORT': 62, 'SCI': 67}
Student 70: {'ENG': 92, 'MATH': 87, 'CP': 99, 'SPORT': 72, 'SCI': 73}
Student 71: {'ENG': 54, 'MATH': 61, 'CP': 80, 'SPORT': 48, 'SCI': 94}
Student 72: {'ENG': 69, 'MATH': 79, 'CP': 44, 'SPORT': 63, 'SCI': 82}
Student 73: {'ENG': 91, 'MATH': 97, 'CP': 52, 'SPORT': 59, 'SCI': 47}
Student 74: {'ENG': 98, 'MATH': 42, 'CP': 83, 'SPORT': 49, 'SCI': 78}
Student 75: {'ENG': 66, 'MATH': 81, 'CP': 89, 'SPORT': 97, 'SCI': 41}
Student 76: {'ENG': 43, 'MATH': 68, 'CP': 96, 'SPORT': 55, 'SCI': 82}
Student 77: {'ENG': 54, 'MATH': 84, 'CP': 99, 'SPORT': 43, 'SCI': 64}
Student 78: {'ENG': 76, 'MATH': 88, 'CP': 54, 'SPORT': 70, 'SCI': 64}
Student 79: {'ENG': 100, 'MATH': 83, 'CP': 77, 'SPORT': 46, 'SCI': 61}
Student 80: {'ENG': 50, 'MATH': 65, 'CP': 60, 'SPORT': 53, 'SCI': 99}
Student 81: {'ENG': 59, 'MATH': 98, 'CP': 76, 'SPORT': 51, 'SCI': 81}
Student 82: {'ENG': 91, 'MATH': 94, 'CP': 72, 'SPORT': 46, 'SCI': 66}
Student 83: {'ENG': 42, 'MATH': 56, 'CP': 58, 'SPORT': 78, 'SCI': 90}
Student 84: {'ENG': 69, 'MATH': 69, 'CP': 94, 'SPORT': 73, 'SCI': 93}
Student 85: {'ENG': 70, 'MATH': 48, 'CP': 41, 'SPORT': 46, 'SCI': 93}
Student 86: {'ENG': 45, 'MATH': 54, 'CP': 90, 'SPORT': 45, 'SCI': 84}
Student 87: {'ENG': 68, 'MATH': 86, 'CP': 64, 'SPORT': 73, 'SCI': 77}
Student 88: {'ENG': 96, 'MATH': 75, 'CP': 65, 'SPORT': 46, 'SCI': 53}
Student 89: {'ENG': 49, 'MATH': 71, 'CP': 81, 'SPORT': 57, 'SCI': 46}
Student 90: {'ENG': 80, 'MATH': 77, 'CP': 59, 'SPORT': 89, 'SCI': 90}
Student 91: {'ENG': 55, 'MATH': 56, 'CP': 51, 'SPORT': 70, 'SCI': 43}
Student 92: {'ENG': 85, 'MATH': 46, 'CP': 92, 'SPORT': 83, 'SCI': 67}
Student 93: {'ENG': 63, 'MATH': 64, 'CP': 48, 'SPORT': 92, 'SCI': 60}
Student 94: {'ENG': 99, 'MATH': 82, 'CP': 79, 'SPORT': 42, 'SCI': 40}
Student 95: {'ENG': 99, 'MATH': 58, 'CP': 82, 'SPORT': 65, 'SCI': 41}
Student 96: {'ENG': 71, 'MATH': 80, 'CP': 88, 'SPORT': 57, 'SCI': 89}
Student 97: {'ENG': 56, 'MATH': 55, 'CP': 71, 'SPORT': 59, 'SCI': 49}
Student 98: {'ENG': 73, 'MATH': 70, 'CP': 99, 'SPORT': 69, 'SCI': 83}
Student 99: {'ENG': 50, 'MATH': 100, 'CP': 82, 'SPORT': 44, 'SCI': 99}
Student 100: {'ENG': 81, 'MATH': 83, 'CP': 82, 'SPORT': 82, 'SCI': 85}
Student 101: {'ENG': 45, 'MATH': 63, 'CP': 77, 'SPORT': 57, 'SCI': 53}
Student 102: {'ENG': 55, 'MATH': 77, 'CP': 47, 'SPORT': 43, 'SCI': 60}
Student 103: {'ENG': 74, 'MATH': 71, 'CP': 72, 'SPORT': 40, 'SCI': 64}
Student 104: {'ENG': 60, 'MATH': 69, 'CP': 89, 'SPORT': 54, 'SCI': 100}
Student 105: {'ENG': 66, 'MATH': 74, 'CP': 58, 'SPORT': 43, 'SCI': 85}
Student 106: {'ENG': 69, 'MATH': 95, 'CP': 95, 'SPORT': 62, 'SCI': 83}
Student 107: {'ENG': 57, 'MATH': 65, 'CP': 66, 'SPORT': 41, 'SCI': 71}
Student 108: {'ENG': 52, 'MATH': 46, 'CP': 80, 'SPORT': 69, 'SCI': 54}
Student 109: {'ENG': 96, 'MATH': 78, 'CP': 96, 'SPORT': 78, 'SCI': 98}
Student 110: {'ENG': 52, 'MATH': 47, 'CP': 42, 'SPORT': 56, 'SCI': 44}
Student 111: {'ENG': 60, 'MATH': 90, 'CP': 84, 'SPORT': 61, 'SCI': 47}
Student 112: {'ENG': 63, 'MATH': 58, 'CP': 70, 'SPORT': 100, 'SCI': 68}
Student 113: {'ENG': 99, 'MATH': 98, 'CP': 89, 'SPORT': 74, 'SCI': 43}
Student 114: {'ENG': 80, 'MATH': 100, 'CP': 43, 'SPORT': 47, 'SCI': 74}
Student 115: {'ENG': 82, 'MATH': 75, 'CP': 99, 'SPORT': 69, 'SCI': 93}
Student 116: {'ENG': 98, 'MATH': 45, 'CP': 77, 'SPORT': 73, 'SCI': 98}
Student 117: {'ENG': 45, 'MATH': 90, 'CP': 74, 'SPORT': 78, 'SCI': 62}
Student 118: {'ENG': 90, 'MATH': 93, 'CP': 68, 'SPORT': 57, 'SCI': 96}
Student 119: {'ENG': 44, 'MATH': 76, 'CP': 87, 'SPORT': 98, 'SCI': 74}
Student 120: {'ENG': 72, 'MATH': 79, 'CP': 55, 'SPORT': 54, 'SCI': 79}
Student 121: {'ENG': 43, 'MATH': 83, 'CP': 70, 'SPORT': 100, 'SCI': 99}
Student 122: {'ENG': 97, 'MATH': 48, 'CP': 77, 'SPORT': 92, 'SCI': 84}
Student 123: {'ENG': 60, 'MATH': 44, 'CP': 95, 'SPORT': 70, 'SCI': 72}
Student 124: {'ENG': 96, 'MATH': 68, 'CP': 48, 'SPORT': 83, 'SCI': 65}
Student 125: {'ENG': 40, 'MATH': 50, 'CP': 100, 'SPORT': 57, 'SCI': 56}
Student 126: {'ENG': 48, 'MATH': 68, 'CP': 40, 'SPORT': 41, 'SCI': 70}
Student 127: {'ENG': 56, 'MATH': 59, 'CP': 42, 'SPORT': 48, 'SCI': 65}
Student 128: {'ENG': 48, 'MATH': 40, 'CP': 87, 'SPORT': 51, 'SCI': 86}
Student 129: {'ENG': 55, 'MATH': 49, 'CP': 45, 'SPORT': 63, 'SCI': 45}
Student 130: {'ENG': 94, 'MATH': 52, 'CP': 90, 'SPORT': 45, 'SCI': 53}
Student 131: {'ENG': 44, 'MATH': 72, 'CP': 54, 'SPORT': 72, 'SCI': 71}
Student 132: {'ENG': 97, 'MATH': 48, 'CP': 52, 'SPORT': 58, 'SCI': 85}
Student 133: {'ENG': 100, 'MATH': 54, 'CP': 83, 'SPORT': 83, 'SCI': 48}
Student 134: {'ENG': 84, 'MATH': 56, 'CP': 58, 'SPORT': 97, 'SCI': 49}
Student 135: {'ENG': 41, 'MATH': 89, 'CP': 72, 'SPORT': 42, 'SCI': 49}
Student 136: {'ENG': 75, 'MATH': 81, 'CP': 48, 'SPORT': 89, 'SCI': 45}
Student 137: {'ENG': 66, 'MATH': 76, 'CP': 74, 'SPORT': 71, 'SCI': 60}
Student 138: {'ENG': 44, 'MATH': 100, 'CP': 57, 'SPORT': 76, 'SCI': 81}
Student 139: {'ENG': 75, 'MATH': 54, 'CP': 55, 'SPORT': 67, 'SCI': 84}
Student 140: {'ENG': 98, 'MATH': 53, 'CP': 64, 'SPORT': 79, 'SCI': 52}
Student 141: {'ENG': 95, 'MATH': 75, 'CP': 45, 'SPORT': 73, 'SCI': 78}
Student 142: {'ENG': 51, 'MATH': 75, 'CP': 69, 'SPORT': 86, 'SCI': 70}
Student 143: {'ENG': 56, 'MATH': 93, 'CP': 57, 'SPORT': 56, 'SCI': 56}
Student 144: {'ENG': 82, 'MATH': 91, 'CP': 81, 'SPORT': 52, 'SCI': 56}
Student 145: {'ENG': 100, 'MATH': 48, 'CP': 67, 'SPORT': 57, 'SCI': 46}
Student 146: {'ENG': 50, 'MATH': 91, 'CP': 60, 'SPORT': 96, 'SCI': 89}
Student 147: {'ENG': 71, 'MATH': 79, 'CP': 84, 'SPORT': 94, 'SCI': 78}
Student 148: {'ENG': 57, 'MATH': 60, 'CP': 79, 'SPORT': 44, 'SCI': 51}
Student 149: {'ENG': 59, 'MATH': 99, 'CP': 40, 'SPORT': 92, 'SCI': 59}
Student 150: {'ENG': 94, 'MATH': 98, 'CP': 79, 'SPORT': 98, 'SCI': 64}
Student 151: {'ENG': 70, 'MATH': 88, 'CP': 96, 'SPORT': 48, 'SCI': 62}
Student 152: {'ENG': 68, 'MATH': 49, 'CP': 79, 'SPORT': 82, 'SCI': 42}
Student 153: {'ENG': 76, 'MATH': 48, 'CP': 54, 'SPORT': 90, 'SCI': 74}
Student 154: {'ENG': 46, 'MATH': 90, 'CP': 92, 'SPORT': 84, 'SCI': 74}
Student 155: {'ENG': 74, 'MATH': 76, 'CP': 87, 'SPORT': 41, 'SCI': 69}
Student 156: {'ENG': 73, 'MATH': 71, 'CP': 74, 'SPORT': 89, 'SCI': 48}
Student 157: {'ENG': 82, 'MATH': 61, 'CP': 94, 'SPORT': 50, 'SCI': 77}
Student 158: {'ENG': 87, 'MATH': 82, 'CP': 46, 'SPORT': 91, 'SCI': 74}
Student 159: {'ENG': 50, 'MATH': 67, 'CP': 83, 'SPORT': 74, 'SCI': 74}
Student 160: {'ENG': 73, 'MATH': 68, 'CP': 55, 'SPORT': 84, 'SCI': 41}
Student 161: {'ENG': 66, 'MATH': 70, 'CP': 52, 'SPORT': 70, 'SCI': 84}
Student 162: {'ENG': 74, 'MATH': 58, 'CP': 83, 'SPORT': 49, 'SCI': 67}
Student 163: {'ENG': 78, 'MATH': 42, 'CP': 46, 'SPORT': 81, 'SCI': 79}
Student 164: {'ENG': 91, 'MATH': 55, 'CP': 61, 'SPORT': 73, 'SCI': 45}
Student 165: {'ENG': 84, 'MATH': 40, 'CP': 95, 'SPORT': 52, 'SCI': 87}
Student 166: {'ENG': 81, 'MATH': 73, 'CP': 82, 'SPORT': 48, 'SCI': 81}
Student 167: {'ENG': 40, 'MATH': 80, 'CP': 49, 'SPORT': 57, 'SCI': 81}
Student 168: {'ENG': 40, 'MATH': 61, 'CP': 75, 'SPORT': 84, 'SCI': 86}
Student 169: {'ENG': 45, 'MATH': 99, 'CP': 44, 'SPORT': 97, 'SCI': 86}
Student 170: {'ENG': 73, 'MATH': 54, 'CP': 97, 'SPORT': 90, 'SCI': 74}
Student 171: {'ENG': 58, 'MATH': 40, 'CP': 46, 'SPORT': 43, 'SCI': 80}
Student 172: {'ENG': 84, 'MATH': 98, 'CP': 62, 'SPORT': 56, 'SCI': 61}
Student 173: {'ENG': 78, 'MATH': 76, 'CP': 96, 'SPORT': 91, 'SCI': 48}
Student 174: {'ENG': 62, 'MATH': 96, 'CP': 78, 'SPORT': 86, 'SCI': 79}
Student 175: {'ENG': 90, 'MATH': 71, 'CP': 57, 'SPORT': 51, 'SCI': 99}
Student 176: {'ENG': 79, 'MATH': 65, 'CP': 89, 'SPORT': 69, 'SCI': 70}
Student 177: {'ENG': 91, 'MATH': 69, 'CP': 80, 'SPORT': 57, 'SCI': 49}
Student 178: {'ENG': 97, 'MATH': 82, 'CP': 68, 'SPORT': 54, 'SCI': 43}
Student 179: {'ENG': 54, 'MATH': 71, 'CP': 52, 'SPORT': 84, 'SCI': 73}
Student 180: {'ENG': 66, 'MATH': 99, 'CP': 48, 'SPORT': 63, 'SCI': 91}
Student 181: {'ENG': 55, 'MATH': 81, 'CP': 91, 'SPORT': 78, 'SCI': 76}
Student 182: {'ENG': 75, 'MATH': 69, 'CP': 82, 'SPORT': 64, 'SCI': 63}
Student 183: {'ENG': 49, 'MATH': 83, 'CP': 53, 'SPORT': 64, 'SCI': 97}
Student 184: {'ENG': 40, 'MATH': 97, 'CP': 59, 'SPORT': 70, 'SCI': 85}
Student 185: {'ENG': 47, 'MATH': 59, 'CP': 46, 'SPORT': 48, 'SCI': 42}
Student 186: {'ENG': 77, 'MATH': 53, 'CP': 61, 'SPORT': 59, 'SCI': 65}
Student 187: {'ENG': 51, 'MATH': 45, 'CP': 74, 'SPORT': 95, 'SCI': 97}
Student 188: {'ENG': 59, 'MATH': 76, 'CP': 51, 'SPORT': 53, 'SCI': 90}
Student 189: {'ENG': 65, 'MATH': 81, 'CP': 70, 'SPORT': 72, 'SCI': 82}
Student 190: {'ENG': 56, 'MATH': 68, 'CP': 50, 'SPORT': 70, 'SCI': 74}
Student 191: {'ENG': 82, 'MATH': 75, 'CP': 50, 'SPORT': 69, 'SCI': 58}
Student 192: {'ENG': 49, 'MATH': 65, 'CP': 62, 'SPORT': 88, 'SCI': 46}
Student 193: {'ENG': 92, 'MATH': 73, 'CP': 56, 'SPORT': 53, 'SCI': 86}
Student 194: {'ENG': 66, 'MATH': 40, 'CP': 87, 'SPORT': 71, 'SCI': 51}
Student 195: {'ENG': 77, 'MATH': 58, 'CP': 91, 'SPORT': 100, 'SCI': 40}
Student 196: {'ENG': 59, 'MATH': 66, 'CP': 60, 'SPORT': 45, 'SCI': 78}
Student 197: {'ENG': 59, 'MATH': 91, 'CP': 98, 'SPORT': 40, 'SCI': 91}
Student 198: {'ENG': 90, 'MATH': 85, 'CP': 87, 'SPORT': 54, 'SCI': 90}
Student 199: {'ENG': 60, 'MATH': 97, 'CP': 55, 'SPORT': 44, 'SCI': 77}
Student 200: {'ENG': 91, 'MATH': 75, 'CP': 56, 'SPORT': 65, 'SCI': 69}
Student 201: {'ENG': 91, 'MATH': 75, 'CP': 87, 'SPORT': 59, 'SCI': 98}
Student 202: {'ENG': 89, 'MATH': 68, 'CP': 69, 'SPORT': 61, 'SCI': 83}
Student 203: {'ENG': 64, 'MATH': 85, 'CP': 77, 'SPORT': 79, 'SCI': 41}
Student 204: {'ENG': 81, 'MATH': 98, 'CP': 50, 'SPORT': 66, 'SCI': 59}
Student 205: {'ENG': 41, 'MATH': 97, 'CP': 82, 'SPORT': 54, 'SCI': 80}
Student 206: {'ENG': 86, 'MATH': 91, 'CP': 54, 'SPORT': 77, 'SCI': 46}
Student 207: {'ENG': 41, 'MATH': 53, 'CP': 70, 'SPORT': 44, 'SCI': 44}
Student 208: {'ENG': 98, 'MATH': 85, 'CP': 76, 'SPORT': 76, 'SCI': 84}
Student 209: {'ENG': 76, 'MATH': 93, 'CP': 40, 'SPORT': 57, 'SCI': 61}
Student 210: {'ENG': 90, 'MATH': 96, 'CP': 93, 'SPORT': 69, 'SCI': 95}
Student 211: {'ENG': 70, 'MATH': 49, 'CP': 83, 'SPORT': 55, 'SCI': 81}
Student 212: {'ENG': 93, 'MATH': 90, 'CP': 50, 'SPORT': 63, 'SCI': 83}
Student 213: {'ENG': 58, 'MATH': 61, 'CP': 63, 'SPORT': 48, 'SCI': 93}
Student 214: {'ENG': 91, 'MATH': 55, 'CP': 81, 'SPORT': 58, 'SCI': 84}
Student 215: {'ENG': 87, 'MATH': 52, 'CP': 58, 'SPORT': 49, 'SCI': 75}
Student 216: {'ENG': 52, 'MATH': 69, 'CP': 56, 'SPORT': 55, 'SCI': 89}
Student 217: {'ENG': 61, 'MATH': 77, 'CP': 54, 'SPORT': 85, 'SCI': 56}
Student 218: {'ENG': 59, 'MATH': 81, 'CP': 49, 'SPORT': 87, 'SCI': 99}
Student 219: {'ENG': 62, 'MATH': 57, 'CP': 92, 'SPORT': 42, 'SCI': 60}
Student 220: {'ENG': 59, 'MATH': 91, 'CP': 88, 'SPORT': 90, 'SCI': 85}
Student 221: {'ENG': 44, 'MATH': 68, 'CP': 81, 'SPORT': 63, 'SCI': 44}
Student 222: {'ENG': 49, 'MATH': 54, 'CP': 65, 'SPORT': 51, 'SCI': 44}
Student 223: {'ENG': 79, 'MATH': 89, 'CP': 61, 'SPORT': 74, 'SCI': 81}
Student 224: {'ENG': 88, 'MATH': 50, 'CP': 99, 'SPORT': 60, 'SCI': 69}
Student 225: {'ENG': 79, 'MATH': 50, 'CP': 76, 'SPORT': 69, 'SCI': 83}
Student 226: {'ENG': 77, 'MATH': 45, 'CP': 41, 'SPORT': 94, 'SCI': 74}
Student 227: {'ENG': 84, 'MATH': 81, 'CP': 87, 'SPORT': 98, 'SCI': 63}
Student 228: {'ENG': 40, 'MATH': 45, 'CP': 90, 'SPORT': 58, 'SCI': 90}
Student 229: {'ENG': 50, 'MATH': 81, 'CP': 79, 'SPORT': 85, 'SCI': 89}
Student 230: {'ENG': 50, 'MATH': 62, 'CP': 51, 'SPORT': 51, 'SCI': 65}
Student 231: {'ENG': 93, 'MATH': 69, 'CP': 97, 'SPORT': 99, 'SCI': 53}
Student 232: {'ENG': 95, 'MATH': 88, 'CP': 67, 'SPORT': 71, 'SCI': 94}
Student 233: {'ENG': 88, 'MATH': 62, 'CP': 74, 'SPORT': 52, 'SCI': 96}
Student 234: {'ENG': 90, 'MATH': 80, 'CP': 64, 'SPORT': 57, 'SCI': 53}
Student 235: {'ENG': 67, 'MATH': 51, 'CP': 52, 'SPORT': 60, 'SCI': 96}
Student 236: {'ENG': 64, 'MATH': 96, 'CP': 54, 'SPORT': 68, 'SCI': 80}
Student 237: {'ENG': 97, 'MATH': 94, 'CP': 96, 'SPORT': 74, 'SCI': 93}
Student 238: {'ENG': 63, 'MATH': 80, 'CP': 72, 'SPORT': 90, 'SCI': 45}
Student 239: {'ENG': 66, 'MATH': 80, 'CP': 91, 'SPORT': 64, 'SCI': 41}
Student 240: {'ENG': 81, 'MATH': 89, 'CP': 82, 'SPORT': 58, 'SCI': 78}
Student 241: {'ENG': 64, 'MATH': 93, 'CP': 88, 'SPORT': 78, 'SCI': 58}
Student 242: {'ENG': 86, 'MATH': 79, 'CP': 50, 'SPORT': 46, 'SCI': 40}
Student 243: {'ENG': 65, 'MATH': 44, 'CP': 82, 'SPORT': 48, 'SCI': 70}
Student 244: {'ENG': 85, 'MATH': 77, 'CP': 40, 'SPORT': 45, 'SCI': 42}
Student 245: {'ENG': 68, 'MATH': 70, 'CP': 55, 'SPORT': 91, 'SCI': 64}
Student 246: {'ENG': 99, 'MATH': 87, 'CP': 70, 'SPORT': 85, 'SCI': 72}
Student 247: {'ENG': 99, 'MATH': 96, 'CP': 95, 'SPORT': 57, 'SCI': 46}
Student 248: {'ENG': 60, 'MATH': 70, 'CP': 49, 'SPORT': 98, 'SCI': 71}
Student 249: {'ENG': 41, 'MATH': 74, 'CP': 66, 'SPORT': 96, 'SCI': 75}
Student 250: {'ENG': 90, 'MATH': 62, 'CP': 69, 'SPORT': 66, 'SCI': 72}
Student 251: {'ENG': 91, 'MATH': 49, 'CP': 41, 'SPORT': 47, 'SCI': 84}
Student 252: {'ENG': 50, 'MATH': 92, 'CP': 55, 'SPORT': 70, 'SCI': 82}
Student 253: {'ENG': 87, 'MATH': 78, 'CP': 96, 'SPORT': 75, 'SCI': 44}
Student 254: {'ENG': 48, 'MATH': 96, 'CP': 51, 'SPORT': 100, 'SCI': 63}
Student 255: {'ENG': 83, 'MATH': 80, 'CP': 85, 'SPORT': 84, 'SCI': 63}
Student 256: {'ENG': 85, 'MATH': 57, 'CP': 78, 'SPORT': 44, 'SCI': 95}
Student 257: {'ENG': 75, 'MATH': 69, 'CP': 96, 'SPORT': 93, 'SCI': 80}
Student 258: {'ENG': 72, 'MATH': 78, 'CP': 52, 'SPORT': 80, 'SCI': 71}
Student 259: {'ENG': 66, 'MATH': 83, 'CP': 97, 'SPORT': 94, 'SCI': 67}
Student 260: {'ENG': 90, 'MATH': 69, 'CP': 53, 'SPORT': 61, 'SCI': 60}
Student 261: {'ENG': 51, 'MATH': 72, 'CP': 47, 'SPORT': 67, 'SCI': 76}
Student 262: {'ENG': 63, 'MATH': 68, 'CP': 42, 'SPORT': 41, 'SCI': 70}
Student 263: {'ENG': 82, 'MATH': 41, 'CP': 49, 'SPORT': 52, 'SCI': 92}
Student 264: {'ENG': 100, 'MATH': 74, 'CP': 57, 'SPORT': 88, 'SCI': 67}
Student 265: {'ENG': 48, 'MATH': 73, 'CP': 66, 'SPORT': 83, 'SCI': 43}
Student 266: {'ENG': 43, 'MATH': 84, 'CP': 80, 'SPORT': 44, 'SCI': 72}
Student 267: {'ENG': 86, 'MATH': 46, 'CP': 100, 'SPORT': 64, 'SCI': 53}
Student 268: {'ENG': 94, 'MATH': 99, 'CP': 84, 'SPORT': 76, 'SCI': 56}
Student 269: {'ENG': 65, 'MATH': 53, 'CP': 72, 'SPORT': 59, 'SCI': 66}
Student 270: {'ENG': 94, 'MATH': 59, 'CP': 41, 'SPORT': 86, 'SCI': 47}
Student 271: {'ENG': 95, 'MATH': 79, 'CP': 93, 'SPORT': 50, 'SCI': 99}
Student 272: {'ENG': 53, 'MATH': 55, 'CP': 52, 'SPORT': 74, 'SCI': 65}
Student 273: {'ENG': 65, 'MATH': 50, 'CP': 76, 'SPORT': 59, 'SCI': 78}
